"Freq [GHz]","dB(S(FloquetPort1:1,FloquetPort1:1)) []","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
30,-0.000461599398239416,-inf
30.1,-0.000466420519909548,-inf
30.2,-0.000471588932918338,-inf
30.3,-0.000477004221960375,-inf
30.4,-0.000482584227055764,-inf
30.5,-0.00048826299670106,-inf
30.6,-0.000493988875947556,-inf
30.7,-0.000499722727059314,-inf
30.8,-0.000505436279237993,-inf
30.9,-0.000511110603788889,-inf
31,-0.000516734711921222,-inf
31.1,-0.000522304269857306,-inf
31.2,-0.000527820428479258,-inf
31.3,-0.000533288761757385,-inf
31.4,-0.00053871831026532,-inf
31.5,-0.0005441207248729,-inf
31.6,-0.000549509505057697,-inf
31.7,-0.000554899328358204,-inf
31.8,-0.000560305464267641,-inf
31.9,-0.000565743268751746,-inf
32,-0.000571227753965261,-inf
32.1,-0.00057677322779188,-inf
32.2,-0.00058239299861258,-inf
32.3,-0.00058809914040728,-inf
32.4,-0.000593902312576263,-inf
32.5,-0.000599811630837075,-inf
32.6,-0.000605834583164737,-inf
32.7,-0.000611976987278538,-inf
32.8,-0.000618242984891139,-inf
32.9,-0.000624635068009079,-inf
33,-0.0006311541337715,-inf
33.1,-0.000637799563514463,-inf
33.2,-0.000644569322457024,-inf
33.3,-0.000651460076111117,-inf
33.4,-0.000658467320554005,-inf
33.5,-0.000665585522884222,-inf
33.6,-0.000672808269088495,-inf
33.7,-0.000680128416565379,-inf
33.8,-0.000687538248682546,-inf
33.9,-0.000695029629096598,-inf
34,-0.000702594153631806,-inf
34.1,-0.000710223297896023,-inf
34.2,-0.000717908558586354,-inf
34.3,-0.000725641587724611,-inf
34.4,-0.00073341431756967,-inf
34.5,-0.000741219076032119,-inf
34.6,-0.000749048690601567,-inf
34.7,-0.000756896581580236,-inf
34.8,-0.000764756842244535,-inf
34.9,-0.000772624307287577,-inf
35,-0.000780494607958029,-inf
35.1,-0.000788364214810424,-inf
35.2,-0.000796230467523875,-inf
35.3,-0.000804091592313735,-inf
35.4,-0.000811946707295857,-inf
35.5,-0.000819795815927766,-inf
35.6,-0.000827639789545095,-inf
35.7,-0.000835480339321133,-inf
35.8,-0.00084331997845083,-inf
35.9,-0.000851161975369339,-inf
36,-0.000859010299057225,-inf
36.1,-0.000866869556865319,-inf
36.2,-0.000874744926348266,-inf
36.3,-0.000882642081854154,-inf
36.4,-0.000890567116703472,-inf
36.5,-0.000898526462153265,-inf
36.6,-0.000906526804387685,-inf
36.7,-0.000914574999835831,-inf
36.8,-0.000922677990652177,-inf
36.9,-0.000930842720524497,-inf
37,-0.000939076052306084,-inf
37.1,-0.000947384688044161,-inf
37.2,-0.000955775092650545,-inf
37.3,-0.000964253420816245,-inf
37.4,-0.00097282544977302,-inf
37.5,-0.000981496516855483,-inf
37.6,-0.000990271463214958,-inf
37.7,-0.000999154584239644,-inf
37.8,-0.00100814958703604,-inf
37.9,-0.00101725955479321,-inf
38,-0.00102648691959624,-inf
38.1,-0.00103583344216016,-inf
38.2,-0.00104530020041442,-inf
38.3,-0.00105488758565407,-inf
38.4,-0.00106459530659447,-inf
38.5,-0.00107442240165072,-inf
38.6,-0.00108436725894216,-inf
38.7,-0.00109442764325932,-inf
38.8,-0.00110460073066836,-inf
38.9,-0.00111488314990927,-inf
39,-0.00112527102970733,-inf
39.1,-0.00113576005211641,-inf
39.2,-0.00114634551107855,-inf
39.3,-0.0011570223757163,-inf
39.4,-0.00116778535747771,-inf
39.5,-0.00117862898076144,-inf
39.6,-0.00118954765578965,-inf
39.7,-0.00120053575400642,-inf
39.8,-0.00121158768385381,-inf
39.9,-0.00122269796762594,-inf
40,-0.00123386131724339,-inf
40.1,-0.00124507270946315,-inf
40.2,-0.00125632745889882,-inf
40.3,-0.00126762128820982,-inf
40.4,-0.00127895039558388,-inf
40.5,-0.00129031151715281,-inf
40.6,-0.00130170198576405,-inf
40.7,-0.00131311978361867,-inf
40.8,-0.00132456358939691,-inf
40.9,-0.00133603281891631,-inf
41,-0.00134752765897814,-inf
41.1,-0.00135904909342595,-inf
41.2,-0.00137059892229482,-inf
41.3,-0.00138217977216767,-inf
41.4,-0.00139379509931824,-inf
41.5,-0.00140544918371581,-inf
41.6,-0.00141714711486546,-inf
41.7,-0.00142889476962384,-inf
41.8,-0.00144069878121385,-inf
41.9,-0.00145256649997935,-inf
42,-0.00146450594708247,-inf
42.1,-0.00147652575906987,-inf
42.2,-0.00148863512665557,-inf
42.3,-0.00150084372548659,-inf
42.4,-0.0015131616407711,-inf
42.5,-0.0015255992870007,-inf
42.6,-0.00153816732090234,-inf
42.7,-0.00155087655114805,-inf
42.8,-0.00156373784400638,-inf
42.9,-0.00157676202561545,-inf
43,-0.00158995978255875,-inf
43.1,-0.00160334156063259,-inf
43.2,-0.00161691746395131,-inf
43.3,-0.00163069715349789,-inf
43.4,-0.00164468974818035,-inf
43.5,-0.00165890372746511,-inf
43.6,-0.00167334683759913,-inf
43.7,-0.00168802600186453,-inf
43.8,-0.00170294723633664,-inf
43.9,-0.00171811557121087,-inf
