"Freq [GHz]","dB(S(FloquetPort1:2,FloquetPort1:2)) []","dB(S(FloquetPort2:2,FloquetPort1:2)) []"
30,-0.000462127509601548,-inf
30.1,-0.000466995403856337,-inf
30.2,-0.000472166456253021,-inf
30.3,-0.00047755476332286,-inf
30.4,-0.000483090076256858,-inf
30.5,-0.000488716039977914,-inf
30.6,-0.000494388549035218,-inf
30.7,-0.000500074218185599,-inf
30.8,-0.000505748964545062,-inf
30.9,-0.000511396698118352,-inf
31,-0.000517008118243134,-inf
31.1,-0.000522579611259959,-inf
31.2,-0.000528112246995435,-inf
31.3,-0.000533610868984416,-inf
31.4,-0.000539083275246377,-inf
31.5,-0.000544539485335575,-inf
31.6,-0.000549991088733633,-inf
31.7,-0.00055545067172752,-inf
31.8,-0.000560931316770992,-inf
31.9,-0.000566446171115534,-inf
32,-0.00057200808002127,-inf
32.1,-0.000577629279802327,-inf
32.2,-0.000583321146783727,-inf
32.3,-0.000589093998007662,-inf
32.4,-0.000594956938655183,-inf
32.5,-0.000600917753234324,-inf
32.6,-0.000606982835192052,-inf
32.7,-0.000613157151976933,-inf
32.8,-0.000619444241568719,-inf
32.9,-0.000625846236072511,-inf
33,-0.000632363909800744,-inf
33.1,-0.000638996747800365,-inf
33.2,-0.000645743031904161,-inf
33.3,-0.000652599940838365,-inf
33.4,-0.000659563662151175,-inf
33.5,-0.00066662951254446,-inf
33.6,-0.000673792064435927,-inf
33.7,-0.000681045276327346,-inf
33.8,-0.000688382624744358,-inf
33.9,-0.000695797235852871,-inf
34,-0.000703282014768294,-inf
34.1,-0.000710829771221937,-inf
34.2,-0.000718433339571844,-inf
34.3,-0.000726085692783874,-inf
34.4,-0.000733780048274803,-inf
34.5,-0.000741509965660795,-inf
34.6,-0.000749269434499752,-inf
34.7,-0.000757052953031409,-inf
34.8,-0.000764855595510854,-inf
34.9,-0.000772673069726661,-inf
35,-0.000780501763000416,-inf
35.1,-0.000788338777750596,-inf
35.2,-0.000796181955949484,-inf
35.3,-0.000804029893088351,-inf
35.4,-0.000811881941900604,-inf
35.5,-0.000819738205942177,-inf
35.6,-0.000827599524015697,-inf
35.7,-0.000835467445620635,-inf
35.8,-0.000843344198102571,-inf
35.9,-0.000851232646397448,-inf
36,-0.000859136245942694,-inf
36.1,-0.000867058989542143,-inf
36.2,-0.000875005348996758,-inf
36.3,-0.000882980212592865,-inf
36.4,-0.000890988818857757,-inf
36.5,-0.000899036687626161,-inf
36.6,-0.000907129549704085,-inf
36.7,-0.000915273274996966,-inf
36.8,-0.000923473801131247,-inf
36.9,-0.00093173706225402,-inf
37,-0.000940068919552859,-inf
37.1,-0.000948475093945255,-inf
37.2,-0.00095696110184906,-inf
37.3,-0.000965532193925914,-inf
37.4,-0.000974193298650356,-inf
37.5,-0.000982948970230115,-inf
37.6,-0.000991803341629867,-inf
37.7,-0.00100076008344398,-inf
37.8,-0.001009822368707,-inf
37.9,-0.00101899284354644,-inf
38,-0.0010282736051467,-inf
38.1,-0.00103766618533358,-inf
38.2,-0.00104717154187891,-inf
38.3,-0.00105679005609028,-inf
38.4,-0.00106652153698791,-inf
38.5,-0.00107636523251309,-inf
38.6,-0.00108631984717053,-inf
38.7,-0.00109638356546987,-inf
38.8,-0.00110655408179154,-inf
38.9,-0.00111682863588794,-inf
39,-0.00112720405333445,-inf
39.1,-0.00113767679088001,-inf
39.2,-0.00114824298621235,-inf
39.3,-0.00115889851154371,-inf
39.4,-0.00116963903036419,-inf
39.5,-0.00118046005700022,-inf
39.6,-0.0011913570179007,-inf
39.7,-0.00120232531509571,-inf
39.8,-0.00121336038956786,-inf
39.9,-0.00122445778577476,-inf
40,-0.00123561321477936,-inf
40.1,-0.00124682261705481,-inf
40.2,-0.0012580822232008,-inf
40.3,-0.0012693886122097,-inf
40.4,-0.00128073876739053,-inf
40.5,-0.00129213012779025,-inf
40.6,-0.00130356063672404,-inf
40.7,-0.00131502878481621,-inf
40.8,-0.00132653364848049,-inf
40.9,-0.00133807492291568,-inf
41,-0.0013496529493138,-inf
41.1,-0.00136126873546083,-inf
41.2,-0.00137292397065976,-inf
41.3,-0.00138462103304407,-inf
41.4,-0.00139636299116713,-inf
41.5,-0.00140815359767125,-inf
41.6,-0.00141999727637715,-inf
41.7,-0.0014318991025409,-inf
41.8,-0.00144386477596198,-inf
41.9,-0.00145590058712577,-inf
42,-0.00146801337774304,-inf
42.1,-0.00148021049349715,-inf
42.2,-0.00149249973240161,-inf
42.3,-0.00150488928634597,-inf
42.4,-0.00151738767780356,-inf
42.5,-0.00153000369262192,-inf
42.6,-0.00154274630725248,-inf
42.7,-0.00155562461353668,-inf
42.8,-0.00156864774034434,-inf
42.9,-0.00158182477249734,-inf
43,-0.00159516466855172,-inf
43.1,-0.00160867617729517,-inf
43.2,-0.00162236775477063,-inf
43.3,-0.00163624748091118,-inf
43.4,-0.00165032297867136,-inf
43.5,-0.00166460133460242,-inf
43.6,-0.00167908902256234,-inf
43.7,-0.00169379183105537,-inf
43.8,-0.00170871479533731,-inf
43.9,-0.00172386213419772,-inf
44,-0.00173923719344178,-inf
44.1,-0.00175484239456807,-inf
44.2,-0.00177067919228046,-inf
44.3,-0.00178674803876638,-inf
44.4,-0.00180304835616589,-inf
44.5,-0.00181957851875395,-inf
44.6,-0.00183633584351145,-inf
44.7,-0.00185331659049453,-inf
44.8,-0.00187051597335227,-inf
44.9,-0.00188792817955214,-inf
45,-0.00190554640093378,-inf
45.1,-0.00192336287470088,-inf
45.2,-0.00194136893427206,-inf
45.3,-0.00195955507043626,-inf
45.4,-0.00197791100238086,-inf
45.5,-0.00199642575812693,-inf
45.6,-0.00201508776438412,-inf
45.7,-0.00203388494499037,-inf
45.8,-0.00205280482721395,-inf
45.9,-0.00207183465599533,-inf
46,-0.00209096151490492,-inf
46.1,-0.00211017245216554,-inf
46.2,-0.00212945461323963,-inf
46.3,-0.00214879537574016,-inf
46.4,-0.00216818248894257,-inf
46.5,-0.00218760421393351,-inf
46.6,-0.00220704946557498,-inf
46.7,-0.00222650795352059,-inf
46.8,-0.00224597032144251,-inf
46.9,-0.00226542828396674,-inf
47,-0.00228487475921375,-inf
47.1,-0.00230430399542997,-inf
47.2,-0.00232371169169075,-inf
47.3,-0.00234309510993324,-inf
47.4,-0.00236245317837511,-inf
47.5,-0.00238178658387932,-inf
47.6,-0.00240109785302271,-inf
47.7,-0.00242039142044656,-inf
47.8,-0.00243967368346812,-inf
47.9,-0.00245895304179948,-inf
48,-0.00247823992202244,-inf
48.1,-0.00249754678550248,-inf
48.2,-0.00251688811929793,-inf
48.3,-0.0025362804099504,-inf
48.4,-0.00255574209934417,-inf
48.5,-0.00257529352259173,-inf
48.6,-0.00259495682777006,-inf
48.7,-0.00261475587800498,-inf
48.8,-0.00263471613575115,-inf
48.9,-0.0026548645305351,-inf
49,-0.00267522930956581,-inf
49.1,-0.00269583987359163,-inf
49.2,-0.00271672659830701,-inf
49.3,-0.00273792064246368,-inf
49.4,-0.00275945374511192,-inf
49.5,-0.00278135801276957,-inf
49.6,-0.00280366569903424,-inf
49.7,-0.00282640897884743,-inf
49.8,-0.00284961971968875,-inf
49.9,-0.00287332925235954,-inf
50,-0.0028975681440931,-inf
50.1,-0.00292236597722105,-inf
50.2,-0.0029477511366714,-inf
50.3,-0.00297375060930302,-inf
50.4,-0.00300038979899196,-inf
50.5,-0.00302769236115917,-inf
50.6,-0.00305568006072198,-inf
50.7,-0.00308437265751032,-inf
50.8,-0.00311378782250012,-inf
50.9,-0.00314394109104218,-inf
51,-0.00317484585548824,-inf
51.1,-0.00320651340271645,-inf
51.2,-0.00323895300134525,-inf
51.3,-0.00327217204271169,-inf
51.4,-0.00330617624154667,-inf
51.5,-0.00334096989933483,-inf
51.6,-0.00337655623842223,-inf
51.7,-0.00341293780924654,-inf
51.8,-0.00345011697880198,-inf
51.9,-0.00348809650412105,-inf
52,-0.00352688019927484,-inf
52.1,-0.00356647370139784,-inf
52.2,-0.00360688534387636,-inf
52.3,-0.00364812714642928,-inf
52.4,-0.00369021593103098,-inf
52.5,-0.00373317457636149,-inf
52.6,-0.00377703342564978,-inf
52.7,-0.00382183186402998,-inf
52.8,-0.00386762008836301,-inf
52.9,-0.00391446109447207,-inf
53,-0.00396243291715227,-inf
53.1,-0.00401163116336399,-inf
53.2,-0.00406217189366409,-inf
53.3,-0.00411419491954326,-inf
53.4,-0.00416786760820659,-inf
53.5,-0.00422338930677978,-inf
53.6,-0.00428099653967799,-inf
53.7,-0.00434096917562103,-inf
53.8,-0.00440363782719223,-inf
53.9,-0.00446939282942491,-inf
54,-0.00453869526802346,-inf
54.1,-0.00461209068697982,-inf
54.2,-0.00469022634101277,-inf
54.3,-0.00477387318334015,-inf
54.4,-0.00486395425008856,-inf
54.5,-0.00496158178678505,-inf
54.6,-0.00506810647245897,-inf
54.7,-0.00518518361500387,-inf
54.8,-0.0053148635121396,-inf
54.9,-0.00545971678770643,-inf
55,-0.00562301128338329,-inf
55.1,-0.00580896648824183,-inf
55.2,-0.00602312725751318,-inf
55.3,-0.00627292577936265,-inf
55.4,-0.00656854929524411,-inf
55.5,-0.00692432101284307,-inf
55.6,-0.00736097554373227,-inf
55.7,-0.00790956350583932,-inf
55.8,-0.00861848038123916,-inf
55.9,-0.00956686739966246,-inf
56,-0.0108920189232412,-inf
56.1,-0.0128505857305697,-inf
56.2,-0.0159716901585841,-inf
56.3,-0.0215034776649628,-inf
56.4,-0.0330374127820785,-inf
56.5,-0.0649288307278009,-inf
56.6,-0.231091743067573,-inf
56.7,-5.53298038138312,-inf
56.8,-0.169837024266204,-inf
56.9,-0.0450447908990764,-inf
57,-0.0213779150295431,-inf
57.1,-0.0133390122911757,-inf
57.2,-0.00978836781341692,-inf
57.3,-0.00796828761072791,-inf
57.4,-0.00694252174255412,-inf
57.5,-0.00632531994893152,-inf
57.6,-0.00593515618040197,-inf
57.7,-0.00567778793309659,-inf
57.8,-0.00550038611747429,-inf
57.9,-0.00537143358043282,-inf
58,-0.00527113509329585,-inf
58.1,-0.00518653090092099,-inf
58.2,-0.00510888041056416,-inf
58.3,-0.00503221479608172,-inf
58.4,-0.00495252796803504,-inf
58.5,-0.00486733708288388,-inf
58.6,-0.00477547105036141,-inf
58.7,-0.004677010732682,-inf
58.8,-0.00457333966715517,-inf
58.9,-0.00446728406435521,-inf
59,-0.00436333283244566,-inf
59.1,-0.00426793615245204,-inf
59.2,-0.00418988668717275,-inf
59.3,-0.00414079194883134,-inf
59.4,-0.00413565034246028,-inf
59.5,-0.00419354736951571,-inf
59.6,-0.00433849271837143,-inf
59.7,-0.0046004237271835,-inf
59.8,-0.00501640619583303,-inf
59.9,-0.00563206995209722,-inf
60,-0.00650332417411822,-inf
60.1,-0.0063462641455414,-inf
60.2,-0.00650905170131289,-inf
60.3,-0.00743587163618768,-inf
60.4,-0.0115081328550309,-inf
60.5,-0.0616807241554449,-inf
60.6,-0.0822201085108561,-inf
60.7,-0.0136507828177569,-inf
60.8,-0.00850248273606598,-inf
60.9,-0.00723006585947122,-inf
61,-0.0069051951982681,-inf
61.1,-0.00702863097641663,-inf
61.2,-0.00762165063231073,-inf
61.3,-0.00958824112685687,-inf
61.4,-0.0382191646593414,-inf
61.5,-0.00760232584364657,-inf
61.6,-0.00574330676850909,-inf
61.7,-0.00602376289496097,-inf
61.8,-0.00635387504222673,-inf
61.9,-0.00666278888747962,-inf
62,-0.00695186898328865,-inf
62.1,-0.00722605944776523,-inf
62.2,-0.00748910241561394,-inf
62.3,-0.00774381135681511,-inf
62.4,-0.00799261494644344,-inf
62.5,-0.00823794834340744,-inf
62.6,-0.00848252407691227,-inf
62.7,-0.0087295428700721,-inf
62.8,-0.00898289123835757,-inf
62.9,-0.00924736460654807,-inf
63,-0.00952895633385774,-inf
63.1,-0.0098352655122799,-inf
63.2,-0.0101761038480943,-inf
63.3,-0.010564434794583,-inf
63.4,-0.0110178792705367,-inf
63.5,-0.0115612222432325,-inf
63.6,-0.0122307695307339,-inf
63.7,-0.0130823205927393,-inf
63.8,-0.0142067034160882,-inf
63.9,-0.0157625015838213,-inf
64,-0.0180522139618636,-inf
64.1,-0.0217243317034669,-inf
64.2,-0.0284161321311311,-inf
64.3,-0.0434293197700599,-inf
64.4,-0.0930465573956171,-inf
64.5,-0.415972820837279,-inf
64.6,-0.147511048524273,-inf
64.7,-0.0320080371497381,-inf
64.8,-0.0154718413785619,-inf
64.9,-0.011566441299765,-inf
65,-0.0108617695808165,-inf
65.1,-0.0115206371993758,-inf
65.2,-0.013316678314474,-inf
65.3,-0.017040724501956,-inf
65.4,-0.0264043450259364,-inf
65.5,-0.0683230869174428,-inf
65.6,-0.27271341510014,-inf
65.7,-0.0239282661853413,-inf
65.8,-0.00884622084660674,-inf
65.9,-0.006762839565473,-inf
66,-0.0065273441641242,-inf
66.1,-0.00671796617807407,-inf
66.2,-0.00702155285283522,-inf
66.3,-0.00734858980999585,-inf
66.4,-0.00767053551286459,-inf
66.5,-0.00797905010148271,-inf
66.6,-0.00827369233603461,-inf
66.7,-0.00855780087422672,-inf
66.8,-0.00883709993602645,-inf
66.9,-0.00911932146035197,-inf
67,-0.00941424838175012,-inf
67.1,-0.00973395515811616,-inf
67.2,-0.0100931577746303,-inf
67.3,-0.0105096392129616,-inf
67.4,-0.0110047390373686,-inf
67.5,-0.0116039059220319,-inf
67.6,-0.0140121072216804,-inf
67.7,-0.0160898216484901,-inf
67.8,-0.0178645377432772,-inf
67.9,-0.0193652102446788,-inf
68,-0.020622251420147,-inf
68.1,-0.0216675703993286,-inf
68.2,-0.0225346791702629,-inf
68.3,-0.0232588899719357,-inf
68.4,-0.0238776375880763,-inf
68.5,-0.0244309729322559,-inf
68.6,-0.0249622935138217,-inf
68.7,-0.025519405434973,-inf
68.8,-0.0261560562206891,-inf
68.9,-0.0269341475451375,-inf
69,-0.0279269477764785,-inf
69.1,-0.029223803623734,-inf
69.2,-0.0309371457092597,-inf
69.3,-0.0332130785302368,-inf
69.4,-0.0362476894669061,-inf
69.5,-0.04031266344697,-inf
69.6,-0.0457962783443811,-inf
69.7,-0.0532699696986211,-inf
69.8,-0.0635966056918727,-inf
69.9,-0.0781010131668142,-inf
70,-0.0988035751005318,-inf
70.1,-0.128565148351474,-inf
70.2,-0.170278241102627,-inf
70.3,-0.221974842417062,-inf
70.4,-0.263768800553739,-inf
70.5,-0.257550656973719,-inf
70.6,-0.200469041453588,-inf
70.7,-0.135369340603971,-inf
70.8,-0.0877200111206087,-inf
70.9,-0.0579467912661723,-inf
71,-0.0402302225800159,-inf
71.1,-0.0297680609516124,-inf
71.2,-0.0235175754551935,-inf
71.3,-0.019730410441657,-inf
71.4,-0.0175182633198651,-inf
71.5,-0.0165786861766121,-inf
71.6,-0.0171351576746391,-inf
71.7,-0.0203757397684989,-inf
71.8,-0.0311003325344611,-inf
71.9,-0.0802304133444567,-inf
72,-0.571432007719065,-inf
72.1,-0.0904445925917878,-inf
72.2,-0.0266642061600401,-inf
72.3,-0.0149358487995502,-inf
72.4,-0.0112516601270613,-inf
72.5,-0.00989843550904219,-inf
