"Freq [GHz]","ReflectanceTE []"
30,0.997228707658421
30.01,0.997108740732143
30.02,0.996989710080927
30.03,0.996871615281256
30.04,0.996754455882914
30.05,0.996638231408967
30.06,0.996522941355639
30.07,0.996408585192317
30.08,0.996295162361421
30.09,0.996182672278366
30.1,0.996071114331516
30.11,0.995960487882094
30.12,0.995850792264167
30.13,0.995742026784557
30.14,0.995634190722778
30.15,0.995527283331035
30.16,0.995421303834119
30.17,0.995316251429404
30.18,0.995212125286763
30.19,0.995108924548573
30.2,0.995006648329616
30.21,0.994905295717078
30.22,0.994804865770502
30.23,0.994705357521741
30.24,0.994606769974974
30.25,0.994509102106591
30.26,0.994412352865238
30.27,0.994316521171753
30.28,0.994221605919153
30.29,0.994127605972601
30.3,0.994034520169401
30.31,0.993942347318965
30.32,0.993851086202806
30.33,0.993760735574539
30.34,0.993671294159819
30.35,0.993582760656378
30.36,0.993495133734013
30.37,0.993408412034549
30.38,0.993322594171886
30.39,0.993237678731936
30.4,0.993153664272698
30.41,0.993070549324173
30.42,0.992988332388478
30.43,0.99290701193975
30.44,0.992826586424222
30.45,0.992747054260206
30.46,0.992668413838133
30.47,0.992590663520537
30.48,0.992513801642122
30.49,0.992437826509721
30.5,0.992362736402381
30.51,0.992288529571376
30.52,0.992215204240181
30.53,0.992142758604591
30.54,0.992071190832699
30.55,0.992000499064946
30.56,0.991930681414136
30.57,0.991861735965553
30.58,0.991793660776899
30.59,0.99172645387842
30.6,0.991660113272928
30.61,0.991594636935859
30.62,0.991530022815291
30.63,0.991466268832056
30.64,0.991403372879764
30.65,0.991341332824856
30.66,0.991280146506698
30.67,0.991219811737614
30.68,0.991160326302994
30.69,0.99110168796131
30.7,0.991043894444233
30.71,0.99098694345669
30.72,0.990930832676946
30.73,0.990875559756691
30.74,0.990821122321106
30.75,0.990767517968942
30.76,0.99071474427265
30.77,0.990662798778425
30.78,0.990611679006317
30.79,0.990561382450334
30.8,0.990511906578511
30.81,0.990463248833053
30.82,0.990415406630375
30.83,0.990368377361289
30.84,0.990322158391022
30.85,0.990276747059389
30.86,0.990232140680888
30.87,0.990188336544784
30.88,0.990145331915276
30.89,0.990103124031581
30.9,0.99006171010806
30.91,0.990021087334341
30.92,0.989981252875462
30.93,0.989942203871981
30.94,0.989903937440101
30.95,0.989866450671813
30.96,0.989829740635054
30.97,0.989793804373799
30.98,0.989758638908232
30.99,0.989724241234866
31,0.989690608326722
31.01,0.989657737133445
31.02,0.989625624581432
31.03,0.989594267574071
31.04,0.989563662991776
31.05,0.989533807692249
31.06,0.98950469851056
31.07,0.989476332259357
31.08,0.98944870572899
31.09,0.989421815687709
31.1,0.989395658881819
31.11,0.989370232035824
31.12,0.989345531852648
31.13,0.989321555013741
31.14,0.989298298179333
31.15,0.989275757988539
31.16,0.989253931059576
31.17,0.98923281398995
31.18,0.989212403356599
31.19,0.989192695716136
31.2,0.989173687604975
31.21,0.98915537553957
31.22,0.989137756016594
31.23,0.98912082551308
31.24,0.989104580486717
31.25,0.989089017375947
31.26,0.98907413260023
31.27,0.989059922560205
31.28,0.989046383637922
31.29,0.989033512197021
31.3,0.989021304582964
31.31,0.989009757123213
31.32,0.988998866127464
31.33,0.988988627887846
31.34,0.988979038679137
31.35,0.988970094758976
31.36,0.988961792368092
