"Freq [GHz]","ReflectanceTM []"
30,0.995578864744792
30.01,0.995579000516042
30.02,0.995579166409946
30.03,0.995579362370013
30.04,0.995579588338393
30.05,0.995579844255918
30.06,0.995580130062063
30.07,0.995580445694991
30.08,0.995580791091521
30.09,0.99558116618713
30.1,0.995581570915984
30.11,0.995582005210902
30.12,0.995582469003402
30.13,0.995582962223669
30.14,0.995583484800546
30.15,0.995584036661594
30.16,0.995584617733031
30.17,0.995585227939781
30.18,0.995585867205443
30.19,0.995586535452335
30.2,0.99558723260145
30.21,0.995587958572486
30.22,0.995588713283853
30.23,0.99558949665265
30.24,0.995590308594734
30.25,0.995591149024625
30.26,0.995592017855601
30.27,0.995592914999648
30.28,0.99559384036749
30.29,0.995594793868576
30.3,0.9955957754111
30.31,0.995596784902001
30.32,0.995597822246962
30.33,0.995598887350444
30.34,0.995599980115631
30.35,0.995601100444493
30.36,0.995602248237779
30.37,0.995603423394987
30.38,0.995604625814436
30.39,0.995605855393192
30.4,0.995607112027156
30.41,0.995608395610988
30.42,0.995609706038205
30.43,0.9956110432011
30.44,0.995612406990806
30.45,0.99561379729727
30.46,0.995615214009289
30.47,0.995616657014485
30.48,0.995618126199356
30.49,0.995619621449225
30.5,0.995621142648299
30.51,0.995622689679668
30.52,0.995624262425264
30.53,0.995625860765941
30.54,0.995627484581441
30.55,0.995629133750412
30.56,0.995630808150381
30.57,0.995632507657859
30.58,0.995634232148225
30.59,0.995635981495825
30.6,0.99563775557395
30.61,0.995639554254856
30.62,0.995641377409733
30.63,0.99564322490877
30.64,0.99564509662114
30.65,0.995646992414982
30.66,0.995648912157468
30.67,0.995650855714753
30.68,0.995652822952047
30.69,0.995654813733558
30.7,0.995656827922543
30.71,0.995658865381315
30.72,0.995660925971245
30.73,0.995663009552781
30.74,0.995665115985445
30.75,0.995667245127835
30.76,0.995669396837678
30.77,0.995671570971799
30.78,0.995673767386146
30.79,0.99567598593581
30.8,0.995678226475007
30.81,0.995680488857134
30.82,0.995682772934719
30.83,0.995685078559516
30.84,0.99568740558242
30.85,0.99568975385355
30.86,0.995692123222243
30.87,0.995694513537031
30.88,0.995696924645707
30.89,0.995699356395301
30.9,0.995701808632098
30.91,0.995704281201647
30.92,0.995706773948792
30.93,0.99570928671766
30.94,0.995711819351682
30.95,0.995714371693596
30.96,0.995716943585496
30.97,0.995719534868796
30.98,0.995722145384271
30.99,0.995724774972045
31,0.995727423471643
31.01,0.995730090721974
31.02,0.995732776561318
31.03,0.995735480827421
31.04,0.995738203357408
31.05,0.995740943987881
31.06,0.99574370255487
31.07,0.99574647889388
31.08,0.995749272839883
31.09,0.995752084227353
31.1,0.995754912890265
31.11,0.995757758662096
31.12,0.995760621375875
31.13,0.995763500864137
31.14,0.99576639695901
31.15,0.995769309492159
31.16,0.995772238294838
31.17,0.995775183197905
31.18,0.995778144031793
31.19,0.995781120626592
31.2,0.995784112811988
31.21,0.995787120417332
31.22,0.995790143271639
31.23,0.995793181203554
31.24,0.995796234041457
31.25,0.995799301613386
31.26,0.995802383747108
31.27,0.995805480270097
31.28,0.995808591009577
31.29,0.995811715792507
31.3,0.995814854445622
31.31,0.995818006795415
31.32,0.995821172668178
31.33,0.995824351889994
31.34,0.995827544286766
31.35,0.995830749684212
31.36,0.995833967907909
31.37,0.995837198783267
31.38,0.995840442135574
31.39,0.995843697789976
31.4,0.995846965571536
31.41,0.995850245305207
31.42,0.995853536815848
31.43,0.995856839928257
31.44,0.995860154467178
31.45,0.995863480257315
31.46,0.995866817123309
31.47,0.99587016488982
31.48,0.995873523381462
31.49,0.995876892422889
31.5,0.995880271838753
31.51,0.99588366145374
31.52,0.995887061092576
31.53,0.995890470580053
31.54,0.995893889741007
31.55,0.995897318400386
31.56,0.995900756383205
31.57,0.995904203514585
31.58,0.995907659619781
31.59,0.995911124524153
31.6,0.99591459805322
31.61,0.995918080032641
31.62,0.995921570288261
31.63,0.995925068646063
31.64,0.995928574932267
31.65,0.995932088973243
31.66,0.995935610595618
31.67,0.995939139626207
31.68,0.995942675892077
31.69,0.995946219220543
31.7,0.995949769439172
31.71,0.995953326375808
31.72,0.99595688985855
31.73,0.995960459715826
31.74,0.995964035776354
31.75,0.995967617869138
31.76,0.995971205823556
31.77,0.995974799469275
31.78,0.995978398636349
31.79,0.995982003155148
31.8,0.995985612856454
31.81,0.995989227571383
31.82,0.995992847131487
31.83,0.995996471368678
31.84,0.996000100115298
31.85,0.996003733204108
31.86,0.996007370468284
31.87,0.996011011741472
31.88,0.996014656857738
31.89,0.996018305651623
31.9,0.996021957958142
31.91,0.996025613612776
31.92,0.996029272451505
31.93,0.996032934310798
31.94,0.996036599027653
31.95,0.996040266439567
31.96,0.996043936384575
31.97,0.996047608701226
31.98,0.996051283228636
31.99,0.996054959806485
32,0.99605863827497
32.01,0.996062318474905
32.02,0.996066000247663
32.03,0.996069683435219
32.04,0.996073367880125
32.05,0.996077053425535
32.06,0.996080739915258
32.07,0.996084427193681
32.08,0.996088115105822
32.09,0.996091803497382
32.1,0.996095492214637
32.11,0.996099181104585
32.12,0.996102870014825
32.13,0.996106558793674
32.14,0.996110247290095
32.15,0.996113935353717
32.16,0.99611762283491
32.17,0.996121309584705
32.18,0.996124995454831
32.19,0.996128680297749
32.2,0.996132363966617
32.21,0.996136046315337
32.22,0.996139727198518
32.23,0.996143406471529
32.24,0.99614708399047
32.25,0.99615075961217
32.26,0.996154433194263
32.27,0.996158104595084
32.28,0.996161773673781
32.29,0.996165440290244
32.3,0.996169104305159
32.31,0.996172765580005
32.32,0.996176423977002
32.33,0.996180079359216
32.34,0.996183731590502
32.35,0.996187380535478
32.36,0.996191026059634
32.37,0.996194668029213
32.38,0.996198306311329
32.39,0.996201940773893
32.4,0.99620557128563
32.41,0.996209197716117
32.42,0.996212819935779
32.43,0.996216437815848
32.44,0.996220051228424
32.45,0.996223660046459
32.46,0.996227264143731
32.47,0.996230863394898
32.48,0.996234457675481
32.49,0.99623804686183
32.5,0.996241630831216
32.51,0.996245209461715
32.52,0.996248782632334
32.53,0.996252350222922
32.54,0.996255912114218
32.55,0.996259468187847
32.56,0.996263018326298
32.57,0.996266562412982
32.58,0.996270100332163
32.59,0.996273631969033
32.6,0.996277157209644
32.61,0.996280675940966
32.62,0.996284188050874
32.63,0.996287693428119
32.64,0.996291191962369
32.65,0.996294683544217
32.66,0.996298168065132
32.67,0.996301645417491
32.68,0.99630511549462
32.69,0.996308578190702
32.7,0.996312033400863
32.71,0.996315481021159
32.72,0.996318920948521
32.73,0.996322353080822
32.74,0.996325777316858
32.75,0.996329193556312
32.76,0.996332601699814
32.77,0.99633600164891
32.78,0.996339393306055
32.79,0.996342776574637
32.8,0.996346151358941
32.81,0.99634951756421
32.82,0.996352875096567
32.83,0.996356223863097
32.84,0.996359563771787
32.85,0.996362894731532
32.86,0.996366216652175
32.87,0.996369529444458
32.88,0.996372833020059
32.89,0.996376127291573
32.9,0.996379412172511
32.91,0.996382687577306
32.92,0.996385953421313
32.93,0.996389209620799
32.94,0.996392456092944
32.95,0.996395692755861
32.96,0.996398919528567
32.97,0.996402136330999
32.98,0.996405343084
32.99,0.996408539709334
33,0.996411726129665
33.01,0.996414902268585
33.02,0.996418068050555
33.03,0.99642122340101
33.04,0.996424368246213
33.05,0.996427502513394
33.06,0.996430626130643
33.07,0.99643373902698
33.08,0.996436841132299
33.09,0.996439932377406
33.1,0.996443012693989
33.11,0.996446082014633
33.12,0.996449140272828
33.13,0.996452187402938
33.14,0.996455223340206
33.15,0.996458248020768
33.16,0.996461261381647
33.17,0.99646426336073
33.18,0.996467253896789
33.19,0.99647023292948
33.2,0.996473200399301
33.21,0.996476156247653
33.22,0.996479100416781
33.23,0.996482032849803
33.24,0.996484953490673
33.25,0.996487862284248
33.26,0.996490759176199
33.27,0.996493644113061
33.28,0.996496517042222
33.29,0.996499377911915
33.3,0.996502226671208
33.31,0.996505063270028
33.32,0.996507887659093
33.33,0.996510699790001
33.34,0.996513499615153
33.35,0.996516287087796
33.36,0.996519062161975
33.37,0.996521824792558
33.38,0.996524574935257
33.39,0.996527312546552
33.4,0.996530037583771
33.41,0.996532750005005
33.42,0.996535449769198
33.43,0.996538136836044
33.44,0.996540811166048
33.45,0.996543472720509
33.46,0.996546121461513
33.47,0.99654875735192
33.48,0.996551380355364
33.49,0.996553990436262
33.5,0.996556587559799
33.51,0.996559171691917
33.52,0.996561742799355
33.53,0.996564300849557
33.54,0.996566845810752
33.55,0.996569377651911
33.56,0.996571896342763
33.57,0.996574401853755
33.58,0.9965768941561
33.59,0.996579373221711
33.6,0.996581839023252
33.61,0.996584291534108
33.62,0.996586730728375
33.63,0.996589156580874
33.64,0.996591569067139
33.65,0.996593968163398
33.66,0.996596353846596
33.67,0.996598726094349
33.68,0.996601084885011
33.69,0.996603430197582
33.7,0.996605762011774
33.71,0.996608080307964
33.72,0.996610385067214
33.73,0.996612676271242
33.74,0.996614953902454
33.75,0.996617217943905
33.76,0.996619468379299
33.77,0.996621705192999
33.78,0.996623928370033
33.79,0.99662613789604
33.8,0.996628333757336
33.81,0.99663051594083
33.82,0.996632684434086
33.83,0.996634839225277
33.84,0.996636980303214
33.85,0.996639107657321
33.86,0.996641221277607
33.87,0.996643321154713
33.88,0.996645407279877
33.89,0.996647479644913
33.9,0.996649538242241
33.91,0.996651583064893
33.92,0.996653614106417
33.93,0.996655631361004
33.94,0.996657634823396
33.95,0.99665962448887
33.96,0.996661600353322
33.97,0.996663562413159
33.98,0.996665510665358
33.99,0.99666744510745
34,0.996669365737505
34.01,0.996671272554117
34.02,0.996673165556444
34.03,0.996675044744147
34.04,0.996676910117416
34.05,0.99667876167696
34.06,0.996680599424029
34.07,0.99668242336033
34.08,0.996684233488128
34.09,0.996686029810148
34.1,0.996687812329644
34.11,0.996689581050335
34.12,0.996691335976417
34.13,0.996693077112615
34.14,0.996694804464083
34.15,0.996696518036454
34.16,0.996698217835854
34.17,0.99669990386884
34.18,0.996701576142433
34.19,0.996703234664123
34.2,0.996704879441841
34.21,0.996706510483944
34.22,0.996708127799245
34.23,0.996709731396972
34.24,0.996711321286813
34.25,0.996712897478839
34.26,0.996714459983572
34.27,0.996716008811951
34.28,0.996717543975293
34.29,0.996719065485337
34.3,0.996720573354233
34.31,0.996722067594521
34.32,0.99672354821913
34.33,0.996725015241354
34.34,0.996726468674907
34.35,0.996727908533855
34.36,0.99672933483265
34.37,0.996730747586105
34.38,0.996732146809384
34.39,0.996733532518032
34.4,0.996734904727949
34.41,0.996736263455371
34.42,0.996737608716873
34.43,0.996738940529387
34.44,0.996740258910176
34.45,0.996741563876828
34.46,0.996742855447275
34.47,0.996744133639754
34.48,0.996745398472839
34.49,0.996746649965385
34.5,0.996747888136597
34.51,0.996749113005955
34.52,0.996750324593257
34.53,0.996751522918594
34.54,0.996752708002339
34.55,0.996753879865164
34.56,0.996755038528026
34.57,0.996756184012141
34.58,0.996757316339027
34.59,0.996758435530454
34.6,0.996759541608481
34.61,0.996760634595387
34.62,0.99676171451375
34.63,0.996762781386381
34.64,0.996763835236342
34.65,0.99676487608696
34.66,0.996765903961768
34.67,0.996766918884574
34.68,0.996767920879371
34.69,0.996768909970439
34.7,0.99676988618225
34.71,0.996770849539485
34.72,0.996771800067064
34.73,0.996772737790119
34.74,0.996773662733987
34.75,0.996774574924182
34.76,0.996775474386479
34.77,0.996776361146791
34.78,0.99677723523126
34.79,0.996778096666199
34.8,0.996778945478104
34.81,0.996779781693677
34.82,0.996780605339771
34.83,0.996781416443417
34.84,0.996782215031836
