"Freq [GHz]","ReflectanceTE []"
30,0.997657105381825
30.01,0.997686952174536
30.02,0.997716071123692
30.03,0.997744470385847
30.04,0.997772158074674
30.05,0.997799142260917
30.06,0.997825430972198
30.07,0.99785103219302
30.08,0.997875953864599
30.09,0.997900203884785
30.1,0.997923790107989
30.11,0.997946720345081
30.12,0.997969002363328
30.13,0.997990643886297
30.14,0.998011652593761
30.15,0.998032036121682
30.16,0.998051802062089
30.17,0.998070957963049
30.18,0.998089511328576
30.19,0.998107469618615
30.2,0.998124840248934
30.21,0.998141630591099
30.22,0.998157847972441
30.23,0.998173499675974
30.24,0.998188592940413
30.25,0.998203134960054
30.26,0.998217132884806
30.27,0.998230593820128
30.28,0.998243524827008
30.29,0.99825593292193
30.3,0.998267825076861
30.31,0.998279208219223
30.32,0.998290089231879
30.33,0.998300474953146
30.34,0.998310372176714
30.35,0.998319787651708
30.36,0.998328728082661
30.37,0.998337200129485
30.38,0.99834521040753
30.39,0.99835276548751
30.4,0.998359871895596
30.41,0.998366536113334
30.42,0.998372764577755
30.43,0.998378563681302
30.44,0.998383939771899
30.45,0.998388899152942
30.46,0.998393448083364
30.47,0.998397592777598
30.48,0.998401339405674
30.49,0.99840469409318
30.5,0.998407662921361
30.51,0.998410251927106
30.52,0.998412467103011
30.53,0.998414314397412
30.54,0.998415799714428
30.55,0.998416928914016
30.56,0.998417707811976
30.57,0.998418142180095
30.58,0.998418237746078
30.59,0.998418000193709
30.6,0.998417435162851
30.61,0.998416548249514
30.62,0.998415345005923
30.63,0.998413830940588
30.64,0.998412011518366
30.65,0.998409892160502
30.66,0.998407478244768
30.67,0.998404775105442
30.68,0.998401788033477
30.69,0.998398522276515
30.7,0.998394983038972
30.71,0.99839117548215
30.72,0.998387104724296
30.73,0.998382775840703
30.74,0.998378193863771
30.75,0.99837336378311
30.76,0.998368290545657
30.77,0.998362979055715
30.78,0.998357434175096
30.79,0.998351660723196
30.8,0.998345663477085
30.81,0.998339447171635
30.82,0.99833301649958
30.83,0.998326376111674
30.84,0.998319530616739
30.85,0.998312484581814
30.86,0.998305242532255
30.87,0.998297808951815
30.88,0.998290188282809
30.89,0.998282384926186
30.9,0.998274403241647
30.91,0.998266247547792
30.92,0.998257922122212
30.93,0.998249431201617
30.94,0.998240778981942
30.95,0.998231969618489
30.96,0.998223007226066
30.97,0.998213895879077
30.98,0.998204639611669
30.99,0.998195242417834
31,0.998185708251612
31.01,0.998176041027131
31.02,0.998166244618781
31.03,0.998156322861386
31.04,0.998146279550257
31.05,0.998136118441405
31.06,0.998125843251632
31.07,0.9981154576587
31.08,0.998104965301434
31.09,0.998094369779895
31.1,0.998083674655541
31.11,0.998072883451304
31.12,0.9980619996518
31.13,0.998051026703446
31.14,0.998039968014616
31.15,0.998028826955782
31.16,0.99801760685966
31.17,0.998006311021384
31.18,0.997994942698621
31.19,0.997983505111773
31.2,0.99797200144407
31.21,0.997960434841775
31.22,0.997948808414338
31.23,0.997937125234491
31.24,0.997925388338489
31.25,0.997913600726199
31.26,0.997901765361326
31.27,0.997889885171515
31.28,0.99787796304853
31.29,0.997866001848429
31.3,0.997854004391719
31.31,0.99784197346352
31.32,0.997829911813713
31.33,0.997817822157133
31.34,0.997805707173718
31.35,0.997793569508674
31.36,0.997781411772657
31.37,0.997769236541923
31.38,0.997757046358515
31.39,0.997744843730401
31.4,0.997732631131704
31.41,0.997720411002777
31.42,0.997708185750491
31.43,0.997695957748302
31.44,0.997683729336496
31.45,0.997671502822324
31.46,0.99765928048019
31.47,0.99764706455182
31.48,0.997634857246427
31.49,0.997622660740914
31.5,0.99761047718005
31.51,0.997598308676573
31.52,0.997586157311488
31.53,0.997574025134148
31.54,0.997561914162448
31.55,0.997549826383054
31.56,0.997537763751531
31.57,0.997525728192531
31.58,0.997513721599988
31.59,0.997501745837274
31.6,0.997489802737424
31.61,0.997477894103244
31.62,0.997466021707574
31.63,0.997454187293403
31.64,0.997442392574093
31.65,0.997430639233534
31.66,0.997418928926328
31.67,0.997407263278003
31.68,0.997395643885142
31.69,0.997384072315639
31.7,0.997372550108804
31.71,0.99736107877558
31.72,0.997349659798758
31.73,0.997338294633103
31.74,0.997326984705587
31.75,0.99731573141552
31.76,0.997304536134815
31.77,0.997293400208068
31.78,0.997282324952848
31.79,0.997271311659799
31.8,0.997260361592867
31.81,0.997249475989483
31.82,0.997238656060749
31.83,0.997227902991581
31.84,0.99721721794095
31.85,0.997206602042065
31.86,0.997196056402495
31.87,0.997185582104445
31.88,0.997175180204848
31.89,0.99716485173564
31.9,0.997154597703878
31.91,0.997144419091945
31.92,0.997134316857759
31.93,0.997124291934921
31.94,0.997114345232948
31.95,0.997104477637399
