"Freq [GHz]","ReflectanceTE []"
30,0.999815893012212
30.01,0.999815147756275
30.02,0.999814422328695
30.03,0.99981371639328
30.04,0.999813029616903
30.05,0.999812361669545
30.06,0.999811712224196
30.07,0.999811080956949
30.08,0.999810467546911
30.09,0.999809871676204
30.1,0.999809293029982
30.11,0.999808731296378
30.12,0.999808186166536
30.13,0.999807657334567
30.14,0.999807144497522
30.15,0.999806647355424
30.16,0.999806165611228
30.17,0.999805698970802
30.18,0.999805247142933
30.19,0.999804809839318
30.2,0.999804386774518
30.21,0.999803977665958
30.22,0.999803582233942
30.23,0.999803200201616
30.24,0.999802831294941
30.25,0.999802475242717
30.26,0.999802131776543
30.27,0.999801800630801
30.28,0.999801481542669
30.29,0.999801174252059
30.3,0.999800878501673
30.31,0.999800594036926
30.32,0.999800320605973
30.33,0.999800057959657
30.34,0.999799805851554
30.35,0.9997995640379
30.36,0.999799332277606
30.37,0.999799110332237
30.38,0.999798897966021
30.39,0.999798694945784
30.4,0.999798501041001
30.41,0.999798316023726
30.42,0.999798139668609
30.43,0.999797971752895
30.44,0.999797812056344
30.45,0.999797660361303
30.46,0.999797516452653
30.47,0.999797380117767
30.48,0.999797251146551
30.49,0.999797129331387
30.5,0.999797014467139
30.51,0.999796906351136
30.52,0.99979680478316
30.53,0.999796709565433
30.54,0.999796620502587
30.55,0.999796537401676
30.56,0.999796460072131
30.57,0.999796388325782
30.58,0.999796321976812
30.59,0.999796260841782
30.6,0.999796204739542
30.61,0.999796153491323
30.62,0.99979610692062
30.63,0.999796064853244
30.64,0.999796027117314
30.65,0.999795993543161
30.66,0.999795963963412
30.67,0.999795938212924
30.68,0.999795916128784
30.69,0.999795897550279
30.7,0.999795882318892
30.71,0.9997958702783
30.72,0.999795861274366
30.73,0.999795855155055
30.74,0.999795851770546
30.75,0.99979585097309
30.76,0.999795852617067
30.77,0.999795856558959
30.78,0.999795862657325
30.79,0.999795870772815
30.8,0.999795880768121
30.81,0.999795892507967
30.82,0.999795905859121
30.83,0.999795920690382
30.84,0.99979593687251
30.85,0.99979595427828
30.86,0.999795972782437
30.87,0.999795992261664
30.88,0.999796012594619
30.89,0.999796033661868
30.9,0.999796055345901
30.91,0.999796077531117
30.92,0.99979610010379
30.93,0.999796122952078
30.94,0.999796145966
30.95,0.999796169037412
30.96,0.999796192060029
30.97,0.99979621492934
30.98,0.999796237542695
30.99,0.999796259799175
31,0.999796281599699
31.01,0.999796302846891
31.02,0.999796323445182
31.03,0.999796343300681
31.04,0.999796362321271
31.05,0.999796380416522
31.06,0.999796397497678
31.07,0.999796413477705
31.08,0.999796428271203
31.09,0.999796441794449
31.1,0.999796453965335
31.11,0.999796464703406
31.12,0.999796473929791
31.13,0.999796481567261
31.14,0.999796487540118
31.15,0.999796491774287
31.16,0.999796494197218
31.17,0.999796494737914
31.18,0.999796493326926
31.19,0.99979648989631
31.2,0.999796484379614
31.21,0.999796476711899
31.22,0.999796466829706
31.23,0.999796454671029
31.24,0.999796440175304
31.25,0.999796423283427
31.26,0.999796403937719
31.27,0.99979638208189
31.28,0.999796357661083
31.29,0.999796330621794
31.3,0.999796300911902
31.31,0.999796268480677
31.32,0.999796233278679
31.33,0.99979619525784
31.34,0.999796154371424
31.35,0.999796110573965
31.36,0.999796063821316
31.37,0.999796014070611
31.38,0.999795961280251
31.39,0.99979590540988
31.4,0.999795846420422
31.41,0.999795784274001
31.42,0.999795718933965
31.43,0.999795650364885
31.44,0.999795578532496
31.45,0.999795503403745
31.46,0.999795424946728
31.47,0.999795343130707
31.48,0.999795257926077
31.49,0.999795169304387
31.5,0.99979507723828
31.51,0.999794981701515
31.52,0.999794882668964
31.53,0.999794780116542
31.54,0.999794674021273
31.55,0.999794564361221
31.56,0.999794451115495
31.57,0.99979433426425
31.58,0.999794213788643
31.59,0.999794089670871
31.6,0.999793961894101
31.61,0.999793830442492
31.62,0.999793695301215
31.63,0.999793556456334
31.64,0.99979341389493
31.65,0.999793267604994
31.66,0.99979311757545
31.67,0.999792963796122
31.68,0.999792806257782
31.69,0.999792644952049
31.7,0.999792479871456
31.71,0.999792311009386
31.72,0.999792138360098
31.73,0.999791961918688
31.74,0.999791781681107
31.75,0.99979159764409
31.76,0.999791409805253
31.77,0.999791218162957
31.78,0.999791022716378
31.79,0.999790823465477
31.8,0.999790620410988
31.81,0.99979041355439
31.82,0.999790202897941
31.83,0.999789988444586
31.84,0.999789770198061
31.85,0.999789548162774
31.86,0.999789322343852
31.87,0.99978909274714
31.88,0.999788859379118
31.89,0.999788622246985
31.9,0.999788381358611
31.91,0.999788136722477
31.92,0.999787888347743
31.93,0.999787636244195
31.94,0.999787380422237
31.95,0.99978712089289
31.96,0.999786857667783
31.97,0.999786590759133
31.98,0.999786320179738
31.99,0.999786045942979
32,0.999785768062808
32.01,0.999785486553699
32.02,0.999785201430702
32.03,0.999784912709399
32.04,0.999784620405881
32.05,0.999784324536751
32.06,0.999784025119156
32.07,0.999783722170703
32.08,0.999783415709483
32.09,0.999783105754095
32.1,0.999782792323591
32.11,0.999782475437483
32.12,0.999782155115726
32.13,0.999781831378725
32.14,0.999781504247329
32.15,0.999781173742772
32.16,0.999780839886736
32.17,0.999780502701314
32.18,0.999780162208968
32.19,0.999779818432554
32.2,0.999779471395326
32.21,0.999779121120888
32.22,0.999778767633223
32.23,0.999778410956649
32.24,0.999778051115842
32.25,0.999777688135815
32.26,0.999777322041893
32.27,0.999776952859743
32.28,0.999776580615331
32.29,0.999776205334914
32.3,0.999775827045083
32.31,0.999775445772681
32.32,0.999775061544829
32.33,0.999774674388952
32.34,0.999774284332703
32.35,0.999773891404008
32.36,0.999773495631042
32.37,0.999773097042214
32.38,0.999772695666165
32.39,0.999772291531759
32.4,0.999771884668099
32.41,0.999771475104462
32.42,0.999771062870341
32.43,0.999770647995451
32.44,0.999770230509662
32.45,0.999769810443027
32.46,0.999769387825793
32.47,0.999768962688348
32.48,0.99976853506127
32.49,0.999768104975244
32.5,0.99976767246115
32.51,0.999767237549969
32.52,0.999766800272837
32.53,0.999766360661002
32.54,0.999765918745837
32.55,0.99976547455881
32.56,0.999765028131527
32.57,0.999764579495654
32.58,0.999764128682977
32.59,0.999763675725358
32.6,0.999763220654729
32.61,0.999762763503108
32.62,0.999762304302574
32.63,0.999761843085274
