"Freq [GHz]","ReflectanceTE []"
30,0.998062830126469
30.01,0.998058381819728
30.02,0.998054071472781
30.03,0.998049897137069
30.04,0.998045856879999
30.05,0.998041948784929
30.06,0.998038170951078
30.07,0.998034521493513
30.08,0.998030998543049
30.09,0.998027600246215
30.1,0.998024324765198
30.11,0.998021170277768
30.12,0.998018134977262
30.13,0.998015217072488
30.14,0.998012414787654
30.15,0.998009726362371
30.16,0.99800715005153
30.17,0.998004684125286
30.18,0.998002326868971
30.19,0.998000076583069
30.2,0.997997931583109
30.21,0.997995890199639
30.22,0.997993950778155
30.23,0.997992111679033
30.24,0.997990371277513
30.25,0.997988727963553
30.26,0.997987180141849
30.27,0.997985726231738
30.28,0.997984364667103
30.29,0.997983093896397
30.3,0.997981912382497
30.31,0.997980818602683
30.32,0.997979811048561
30.33,0.997978888226037
30.34,0.99797804865516
30.35,0.997977290870172
30.36,0.997976613419379
30.37,0.997976014865081
30.38,0.997975493783566
30.39,0.997975048764955
30.4,0.997974678413237
30.41,0.997974381346122
30.42,0.997974156195039
30.43,0.997974001605018
30.44,0.997973916234665
30.45,0.997973898756063
30.46,0.997973947854743
30.47,0.997974062229583
30.48,0.997974240592778
30.49,0.997974481669724
30.5,0.997974784199007
30.51,0.997975146932315
30.52,0.997975568634333
30.53,0.997976048082747
30.54,0.997976584068128
30.55,0.997977175393888
30.56,0.997977820876165
30.57,0.997978519343861
30.58,0.997979269638443
30.59,0.997980070613974
30.6,0.997980921137012
30.61,0.997981820086547
30.62,0.997982766353901
30.63,0.997983758842715
30.64,0.997984796468859
30.65,0.99798587816033
30.66,0.997987002857246
30.67,0.997988169511719
30.68,0.99798937708785
30.69,0.997990624561587
30.7,0.997991910920714
30.71,0.997993235164758
30.72,0.997994596304929
30.73,0.997995993364058
30.74,0.997997425376506
30.75,0.997998891388102
30.76,0.99800039045611
30.77,0.998001921649107
30.78,0.99800348404695
30.79,0.998005076740705
30.8,0.998006698832552
30.81,0.99800834943576
30.82,0.998010027674561
30.83,0.99801173268416
30.84,0.998013463610576
30.85,0.998015219610644
30.86,0.998016999851923
30.87,0.998018803512602
30.88,0.998020629781488
30.89,0.998022477857874
30.9,0.998024346951529
30.91,0.998026236282577
30.92,0.998028145081475
30.93,0.99803007258891
30.94,0.998032018055747
30.95,0.998033980742946
30.96,0.998035959921535
30.97,0.998037954872488
30.98,0.998039964886698
30.99,0.998041989264856
31,0.998044027317478
31.01,0.998046078364727
31.02,0.998048141736407
31.03,0.998050216771917
31.04,0.998052302820103
31.05,0.998054399239281
31.06,0.998056505397089
31.07,0.998058620670498
31.08,0.998060744445659
31.09,0.99806287611791
31.1,0.998065015091678
31.11,0.998067160780395
31.12,0.998069312606473
31.13,0.998071470001187
31.14,0.998073632404659
31.15,0.998075799265747
31.16,0.998077970041999
31.17,0.998080144199615
31.18,0.998082321213297
31.19,0.998084500566289
31.2,0.99808668175022
31.21,0.998088864265097
31.22,0.998091047619229
31.23,0.998093231329101
31.24,0.998095414919419
31.25,0.998097597922941
31.26,0.998099779880474
31.27,0.998101960340775
31.28,0.998104138860512
31.29,0.99810631500417
31.3,0.998108488344028
31.31,0.998110658460044
31.32,0.998112824939826
31.33,0.998114987378554
31.34,0.998117145378921
31.35,0.998119298551053
31.36,0.99812144651249
31.37,0.998123588888057
31.38,0.998125725309856
31.39,0.998127855417158
31.4,0.9981299788564
31.41,0.998132095281028
31.42,0.998134204351543
31.43,0.998136305735365
31.44,0.99813839910678
31.45,0.998140484146907
31.46,0.998142560543606
31.47,0.998144627991432
31.48,0.998146686191553
31.49,0.998148734851723
31.5,0.998150773686215
31.51,0.998152802415692
31.52,0.99815482076725
31.53,0.998156828474296
31.54,0.998158825276467
31.55,0.998160810919653
31.56,0.998162785155837
31.57,0.998164747743103
31.58,0.998166698445559
31.59,0.998168637033254
31.6,0.99817056328217
31.61,0.998172476974089
31.62,0.998174377896614
31.63,0.998176265843051
31.64,0.998178140612373
31.65,0.998180002009159
31.66,0.998181849843551
31.67,0.998183683931156
31.68,0.998185504093016
31.69,0.998187310155583
31.7,0.998189101950588
31.71,0.998190879315041
31.72,0.998192642091136
31.73,0.998194390126244
31.74,0.998196123272809
31.75,0.998197841388294
31.76,0.998199544335182
31.77,0.998201231980824
31.78,0.998202904197489
31.79,0.998204560862222
31.8,0.998206201856837
31.81,0.998207827067851
31.82,0.998209436386443
31.83,0.998211029708346
31.84,0.998212606933856
31.85,0.998214167967769
31.86,0.998215712719275
31.87,0.998217241101982
31.88,0.998218753033782
31.89,0.998220248436874
31.9,0.998221727237658
31.91,0.998223189366695
31.92,0.998224634758678
31.93,0.998226063352342
31.94,0.998227475090466
31.95,0.998228869919746
31.96,0.998230247790823
31.97,0.998231608658173
31.98,0.998232952480084
31.99,0.998234279218613
32,0.99823558883951
32.01,0.998236881312173
32.02,0.998238156609639
32.03,0.998239414708476
32.04,0.998240655588754
32.05,0.998241879234024
32.06,0.998243085631254
32.07,0.998244274770749
32.08,0.998245446646136
32.09,0.998246601254317
32.1,0.998247738595417
32.11,0.998248858672722
32.12,0.998249961492648
32.13,0.99825104706468
32.14,0.998252115401365
32.15,0.998253166518198
32.16,0.998254200433626
32.17,0.998255217169018
32.18,0.998256216748545
32.19,0.998257199199211
32.2,0.998258164550788
32.21,0.998259112835726
32.22,0.998260044089174
32.23,0.998260958348902
32.24,0.998261855655258
32.25,0.998262736051121
32.26,0.998263599581887
32.27,0.998264446295381
32.28,0.998265276241839
32.29,0.998266089473874
32.3,0.998266886046439
32.31,0.998267666016735
32.32,0.998268429444219
32.33,0.998269176390559
32.34,0.998269906919577
32.35,0.998270621097186
32.36,0.998271318991427
32.37,0.998272000672326
32.38,0.998272666211948
32.39,0.998273315684294
32.4,0.998273949165278
32.41,0.998274566732707
32.42,0.998275168466205
32.43,0.998275754447248
32.44,0.998276324759018
32.45,0.998276879486441
32.46,0.998277418716133
32.47,0.998277942536373
32.48,0.998278451037029
32.49,0.998278944309551
32.5,0.998279422446935
32.51,0.998279885543665
32.52,0.998280333695708
32.53,0.998280767000439
32.54,0.998281185556643
32.55,0.998281589464469
32.56,0.99828197882536
32.57,0.998282353742082
32.58,0.998282714318641
32.59,0.998283060660255
32.6,0.99828339287333
32.61,0.998283711065436
32.62,0.998284015345257
32.63,0.998284305822553
32.64,0.998284582608147
32.65,0.998284845813865
32.66,0.998285095552552
32.67,0.998285331937973
32.68,0.998285555084828
32.69,0.998285765108729
32.7,0.998285962126115
32.71,0.998286146254284
32.72,0.998286317611305
32.73,0.998286476316034
32.74,0.998286622488063
32.75,0.998286756247685
32.76,0.998286877715876
32.77,0.998286987014256
32.78,0.998287084265064
32.79,0.998287169591138
32.8,0.998287243115869
32.81,0.998287304963181
32.82,0.998287355257504
32.83,0.998287394123756
32.84,0.998287421687287
32.85,0.998287438073875
32.86,0.998287443409709
32.87,0.998287437821324
32.88,0.9982874214356
32.89,0.998287394379754
32.9,0.998287356781269
32.91,0.998287308767893
32.92,0.998287250467639
32.93,0.998287182008679
32.94,0.998287103519443
32.95,0.998287015128462
32.96,0.998286916964439
32.97,0.998286809156194
32.98,0.998286691832606
32.99,0.998286565122654
33,0.998286429155349
33.01,0.998286284059722
33.02,0.998286129964782
33.03,0.998285966999546
33.04,0.99828579529296
33.05,0.998285614973913
33.06,0.998285426171178
33.07,0.998285229013451
33.08,0.998285023629262
33.09,0.99828481014699
33.1,0.998284588694845
33.11,0.998284359400826
33.12,0.998284122392725
33.13,0.998283877798101
33.14,0.998283625744227
33.15,0.998283366358123
33.16,0.998283099766486
33.17,0.998282826095721
33.18,0.998282545471879
33.19,0.998282258020684
33.2,0.998281963867427
33.21,0.998281663137066
33.22,0.998281355954119
33.23,0.998281042442678
33.24,0.998280722726405
33.25,0.998280396928474
33.26,0.998280065171593
33.27,0.998279727577983
33.28,0.998279384269325
33.29,0.998279035366785
33.3,0.998278680990993
33.31,0.998278321262006
33.32,0.998277956299286
33.33,0.998277586221727
33.34,0.998277211147602
33.35,0.99827683119457
33.36,0.99827644647964
33.37,0.998276057119154
33.38,0.998275663228836
33.39,0.998275264923674
33.4,0.998274862317984
33.41,0.998274455525375
33.42,0.998274044658735
33.43,0.998273629830202
33.44,0.998273211151169
33.45,0.998272788732269
33.46,0.998272362683377
33.47,0.998271933113559
33.48,0.998271500131085
33.49,0.998271063843419
33.5,0.998270624357201
33.51,0.998270181778232
33.52,0.998269736211494
33.53,0.998269287761071
33.54,0.998268836530199
33.55,0.998268382621239
33.56,0.998267926135661
33.57,0.998267467174037
33.58,0.998267005836026
33.59,0.998266542220378
33.6,0.998266076424892
33.61,0.998265608546451
33.62,0.998265138680982
33.63,0.998264666923459
33.64,0.998264193367893
33.65,0.998263718107313
33.66,0.998263241233776
33.67,0.998262762838325
33.68,0.998262283011046
33.69,0.998261801840977
33.7,0.998261319416174
33.71,0.998260835823652
33.72,0.998260351149405
33.73,0.998259865478384
33.74,0.998259378894512
33.75,0.998258891480653
33.76,0.998258403318607
33.77,0.99825791448912
33.78,0.998257425071885
33.79,0.998256935145488
33.8,0.998256444787471
33.81,0.998255954074265
33.82,0.998255463081209
33.83,0.998254971882561
33.84,0.998254480551467
33.85,0.998253989159983
33.86,0.998253497779034
33.87,0.998253006478434
33.88,0.998252515326887
33.89,0.998252024391955
33.9,0.998251533740096
33.91,0.998251043436628
33.92,0.998250553545707
33.93,0.998250064130397
33.94,0.99824957525259
33.95,0.998249086973027
33.96,0.998248599351325
33.97,0.998248112445941
33.98,0.998247626314164
33.99,0.998247141012133
34,0.998246656594852
34.01,0.998246173116122
34.02,0.998245690628625
34.03,0.998245209183852
34.04,0.998244728832124
34.05,0.998244249622608
34.06,0.99824377160331
34.07,0.998243294821028
34.08,0.998242819321449
34.09,0.998242345149029
34.1,0.998241872347074
34.11,0.998241400957733
34.12,0.998240931021947
34.13,0.99824046257951
34.14,0.998239995669035
34.15,0.998239530327954
34.16,0.998239066592512
34.17,0.998238604497829
34.18,0.998238144077785
34.19,0.998237685365139
34.2,0.998237228391445
34.21,0.998236773187109
34.22,0.998236319781351
34.23,0.998235868202206
34.24,0.998235418476597
34.25,0.998234970630206
34.26,0.998234524687608
34.27,0.998234080672189
34.28,0.998233638606177
34.29,0.99823319851062
34.3,0.998232760405442
34.31,0.998232324309393
34.32,0.998231890240074
34.33,0.998231458213922
34.34,0.998231028246235
34.35,0.998230600351168
34.36,0.998230174541736
34.37,0.998229750829791
34.38,0.998229329226059
34.39,0.998228909740153
34.4,0.99822849238053
34.41,0.998228077154514
34.42,0.998227664068317
34.43,0.998227253127046
34.44,0.998226844334654
34.45,0.998226437694011
34.46,0.998226033206864
34.47,0.99822563087386
34.48,0.998225230694543
34.49,0.998224832667343
34.5,0.998224436789638
34.51,0.998224043057678
34.52,0.998223651466646
34.53,0.998223262010655
34.54,0.998222874682726
34.55,0.998222489474812
34.56,0.998222106377822
34.57,0.998221725381575
34.58,0.998221346474869
34.59,0.998220969645425
34.6,0.998220594879941
34.61,0.998220222164059
34.62,0.998219851482405
34.63,0.99821948281857
34.64,0.998219116155121
34.65,0.998218751473613
34.66,0.998218388754602
34.67,0.998218027977613
34.68,0.998217669121211
34.69,0.998217312162929
34.7,0.998216957079356
34.71,0.998216603846061
34.72,0.998216252437677
34.73,0.998215902827861
34.74,0.998215554989292
34.75,0.998215208893707
34.76,0.998214864511918
34.77,0.998214521813773
34.78,0.998214180768194
34.79,0.99821384134317
34.8,0.998213503505797
34.81,0.998213167222234
34.82,0.998212832457751
34.83,0.998212499176716
34.84,0.998212167342594
34.85,0.998211836917994
34.86,0.998211507864644
34.87,0.998211180143387
34.88,0.998210853714222
34.89,0.998210528536301
34.9,0.998210204567905
34.91,0.998209881766507
34.92,0.998209560088738
34.93,0.998209239490419
34.94,0.998208919926545
34.95,0.998208601351306
34.96,0.998208283718102
34.97,0.998207966979549
34.98,0.998207651087467
34.99,0.99820733599292
35,0.998207021646201
35.01,0.998206707996837
35.02,0.998206394993623
35.03,0.998206082584609
35.04,0.998205770717108
35.05,0.998205459337724
35.06,0.998205148392337
35.07,0.998204837826116
35.08,0.998204527583554
35.09,0.998204217608436
35.1,0.998203907843892
35.11,0.998203598232349
35.12,0.998203288715593
35.13,0.998202979234758
35.14,0.998202669730318
35.15,0.998202360142146
35.16,0.998202050409445
35.17,0.998201740470832
35.18,0.99820143026431
35.19,0.998201119727267
35.2,0.998200808796532
35.21,0.998200497408312
35.22,0.998200185498283
35.23,0.998199873001529
35.24,0.998199559852599
35.25,0.998199245985493
35.26,0.998198931333662
35.27,0.998198615830049
35.28,0.998198299407071
35.29,0.998197981996637
35.3,0.998197663530176
35.31,0.998197343938602
35.32,0.998197023152372
35.33,0.99819670110146
35.34,0.998196377715391
35.35,0.998196052923206
35.36,0.998195726653552
35.37,0.998195398834622
35.38,0.998195069394174
35.39,0.998194738259579
35.4,0.998194405357785
35.41,0.998194070615338
35.42,0.998193733958436
35.43,0.998193395312862
35.44,0.998193054604051
35.45,0.998192711757094
35.46,0.998192366696708
35.47,0.998192019347291
35.48,0.998191669632915
35.49,0.998191317477318
35.5,0.99819096280395
35.51,0.998190605535958
35.52,0.998190245596182
35.53,0.998189882907211
35.54,0.998189517391324
35.55,0.998189148970591
35.56,0.998188777566782
35.57,0.998188403101467
35.58,0.998188025495942
35.59,0.998187644671325
35.6,0.998187260548483
35.61,0.998186873048116
35.62,0.99818648209068
35.63,0.998186087596507
35.64,0.99818568948571
35.65,0.998185287678253
35.66,0.998184882093941
35.67,0.998184472652453
35.68,0.998184059273286
35.69,0.998183641875858
35.7,0.998183220379442
35.71,0.998182794703196
35.72,0.998182364766214
35.73,0.998181930487462
35.74,0.998181491785859
35.75,0.998181048580219
35.76,0.998180600789315
35.77,0.998180148331872
35.78,0.998179691126567
35.79,0.998179229092028
35.8,0.998178762146891
35.81,0.998178290209733
35.82,0.998177813199174
35.83,0.998177331033813
35.84,0.998176843632243
35.85,0.998176350913115
35.86,0.998175852795093
35.87,0.99817534919688
35.88,0.998174840037216
35.89,0.998174325234942
35.9,0.998173804708912
35.91,0.998173278378083
35.92,0.998172746161517
35.93,0.998172207978315
35.94,0.998171663747754
35.95,0.99817111338914
35.96,0.998170556821973
35.97,0.998169993965838
35.98,0.99816942474047
35.99,0.998168849065771
36,0.998168266861751
36.01,0.998167678048623
