"Freq [GHz]","ReflectanceTE []"
30,0.997352756856884
30.01,0.997391871207891
30.02,0.997430178341379
30.03,0.997467687797538
30.04,0.997504409062837
30.05,0.997540351569831
30.06,0.997575524696838
30.07,0.997609937767829
30.08,0.99764360005211
30.09,0.997676520764165
30.1,0.997708709063433
30.11,0.997740174054123
30.12,0.997770924785033
30.13,0.997800970249371
30.14,0.997830319384545
30.15,0.997858981072061
30.16,0.99788696413734
30.17,0.997914277349559
30.18,0.997940929421523
30.19,0.997966929009555
30.2,0.997992284713322
30.21,0.998017005075737
30.22,0.998041098582876
30.23,0.998064573663829
30.24,0.998087438690663
30.25,0.998109701978252
30.26,0.998131371784265
30.27,0.998152456309052
30.28,0.998172963695589
30.29,0.998192902029406
30.3,0.998212279338541
30.31,0.998231103593482
30.32,0.998249382707131
30.33,0.998267124534791
30.34,0.998284336874044
30.35,0.998301027464854
30.36,0.998317203989466
30.37,0.998332874072402
30.38,0.998348045280491
30.39,0.998362725122824
30.4,0.998376921050803
30.41,0.998390640458109
30.42,0.998403890680767
30.43,0.99841667899713
30.44,0.998429012627924
30.45,0.998440898736276
30.46,0.998452344427763
30.47,0.998463356750445
30.48,0.99847394269493
30.49,0.998484109194406
30.5,0.998493863124725
30.51,0.998503211304476
30.52,0.998512160494992
30.53,0.998520717400514
30.54,0.998528888668213
30.55,0.998536680888295
30.56,0.998544100594064
30.57,0.998551154262068
30.58,0.998557848312152
30.59,0.99856418910757
30.6,0.998570182955116
30.61,0.998575836105218
30.62,0.998581154752028
30.63,0.998586145033596
30.64,0.998590813031969
30.65,0.99859516477329
30.66,0.998599206227992
30.67,0.998602943310871
30.68,0.998606381881293
30.69,0.998609527743265
30.7,0.998612386645632
30.71,0.998614964282217
30.72,0.998617266291975
30.73,0.99861929825915
30.74,0.998621065713443
30.75,0.998622574130151
30.76,0.998623828930383
30.77,0.998624835481193
30.78,0.998625599095766
30.79,0.99862612503361
30.8,0.998626418500704
30.81,0.998626484649738
30.82,0.998626328580224
30.83,0.998625955338773
30.84,0.998625369919207
30.85,0.998624577262813
30.86,0.998623582258524
30.87,0.99862238974309
30.88,0.998621004501341
30.89,0.998619431266348
30.9,0.998617674719647
30.91,0.998615739491438
30.92,0.99861363016083
30.93,0.998611351256025
30.94,0.998608907254544
30.95,0.99860630258346
30.96,0.998603541619613
30.97,0.998600628689833
30.98,0.998597568071173
30.99,0.998594363991116
31,0.998591020627849
31.01,0.998587542110466
31.02,0.998583932519171
31.03,0.99858019588561
31.04,0.998576336192998
31.05,0.998572357376452
31.06,0.99856826332316
31.07,0.998564057872675
31.08,0.99855974481713
31.09,0.9985553279015
31.1,0.998550810823856
31.11,0.998546197235576
31.12,0.998541490741657
31.13,0.998536694900893
31.14,0.998531813226213
31.15,0.998526849184852
