"Freq [GHz]","ReflectanceTE []"
30,0.99981261867874
30.1,1.00002118478963
30.2,1.000198409733
30.3,1.00034681883072
30.4,1.0004688398028
30.5,1.0005667999267
30.6,1.00064292379262
30.7,1.00069933163118
30.8,1.00073803818876
30.9,1.00076095212347
31,1.00076987589353
31.1,1.00076650610933
31.2,1.00075243431903
31.3,1.00072914819772
31.4,1.00069803310975
31.5,1.00066037401382
31.6,1.00061735768075
31.7,1.00057007519433
31.8,1.00051952470594
31.9,1.00046661441453
32,1.00041216574443
32.1,1.00035691669391
32.2,1.00030152532884
32.3,1.0002465733966
32.4,1.00019257003635
32.5,1.00013995556305
32.6,1.00008910530367
32.7,1.00004033346509
32.8,0.999993897014353
32.9,0.999949999553231
33,0.999908795169864
33.1,0.999870392251714
33.2,0.999834857244867
33.3,0.999802218346079
33.4,0.999772469114826
33.5,0.999745571993668
33.6,0.999721461726547
33.7,0.999700048665225
33.8,0.999681221955388
33.9,0.999664852594692
34,0.99965079635612
34.1,0.99963889657074
34.2,0.999628986765127
34.3,0.999620893149118
34.4,0.999614436951039
34.5,0.999609436597588
34.6,0.999605709737164
34.7,0.999603075105417
34.8,0.999601354233128
34.9,0.999600372996928
35,0.999599963013983
35.1,0.999599962882781
35.2,0.999600219272296
35.3,0.999600587862797
35.4,0.999600934141876
35.5,0.999601134059884
35.6,0.99960107454948
35.7,0.99960065391434
35.8,0.999599782092571
35.9,0.999598380800848
36,0.999596383565328
36.1,0.999593735646028
36.2,0.999590393861459
36.3,0.999586326320459
36.4,0.9995815120686
36.5,0.999575940656344
36.6,0.9995696116365
36.7,0.999562533998577
36.8,0.999554725547397
36.9,0.999546212233599
37,0.999537027443616
37.1,0.999527211256311
37.2,0.999516809673605
37.3,0.999505873832428
37.4,0.999494459204512
37.5,0.999482624791082
37.6,0.999470432318762
37.7,0.999457945442797
37.8,0.999445228963675
37.9,0.999432348062487
38,0.999419367560441
38.1,0.999406351207216
38.2,0.999393361002772
38.3,0.999380456556656
38.4,0.999367694488453
38.5,0.999355127872709
38.6,0.999342805731267
38.7,0.999330772575329
38.8,0.999319067999281
38.9,0.999307726328015
39,0.999296776318801
39.1,0.999286240918476
39.2,0.999276137076535
39.3,0.999266475613614
39.4,0.999257261145413
39.5,0.999248492061056
39.6,0.999240160554662
39.7,0.999232252708583
39.8,0.999224748626695
39.9,0.999217622615233
40,0.999210843409007
40.1,0.999204374440057
40.2,0.999198174145793
40.3,0.999192196313625
40.4,0.999186390458206
40.5,0.999180702228246
40.6,0.999175073838552
40.7,0.999169444524026
40.8,0.999163751010989
40.9,0.999157928002397
41,0.999151908672179
41.1,0.999145625165284
41.2,0.999139009098505
41.3,0.999131992058785
41.4,0.999124506094165
41.5,0.999116484194046
41.6,0.999107860754547
41.7,0.999098572025297
41.8,0.999088556534126
41.9,0.999077755486192
42,0.999066113134407
42.1,0.999053577118062
42.2,0.999040098766946
42.3,0.999025633368575
42.4,0.999010140396108
42.5,0.998993583694935
42.6,0.998975931626776
42.7,0.998957157169117
42.8,0.998937237969781
42.9,0.998916156355206
43,0.998893899292548
43.1,0.998870458305207
43.2,0.99884582934207
43.3,0.998820012601208
43.4,0.998793012308606
43.5,0.9987648364534
43.6,0.998735496480866
43.7,0.99870500694515
43.8,0.998673385123527
43.9,0.998640650594753
44,0.99860682478377
44.1,0.998571930475951
44.2,0.99853599130322
44.3,0.998499031205769
44.4,0.99846107387244
44.5,0.998422142162928
44.6,0.998382257515742
44.7,0.998341439345213
44.8,0.998299704431092
44.9,0.998257066304551
45,0.998213534633919
45.1,0.998169114613702
45.2,0.998123806360313
45.3,0.998077604317609
45.4,0.99803049667531
45.5,0.99798246480313
45.6,0.997933482703028
45.7,0.997883516481908
45.8,0.997832523846604
45.9,0.997780453622485
46,0.99772724529676
46.1,0.997672828587212
46.2,0.997617123035775
46.3,0.997560037627113
46.4,0.997501470430173
46.5,0.99744130826146
46.6,0.997379426366778
46.7,0.997315688118442
46.8,0.997249944723352
46.9,0.997182034936637
47,0.997111784774941
47.1,0.997039007221769
47.2,0.996963501916577
47.3,0.996885054818087
47.4,0.996803437830842
47.5,0.996718408382694
47.6,0.996629708939557
47.7,0.996537066441953
47.8,0.996440191646279
47.9,0.99633877835204
48,0.996232502493729
48.1,0.996121021074645
48.2,0.996003970917002
48.3,0.995880967200249
48.4,0.995751601757102
48.5,0.995615441093373
48.6,0.995472024094759
48.7,0.995320859380182
48.8,0.995161422257514
48.9,0.994993151233842
49,0.994815444027817
49.1,0.994627653027767
49.2,0.994429080134676
49.3,0.9942189709248
49.4,0.993996508063007
49.5,0.993760803894184
49.6,0.993510892138176
49.7,0.99324571861328
49.8,0.992964130915155
49.9,0.992664866985231
50,0.992346542514146
50.1,0.992007637146909
50.2,0.991646479489375
50.3,0.991261230964507
50.4,0.990849868639946
50.5,0.990410167252362
50.6,0.989939680802087
50.7,0.989435724297953
50.8,0.988895356517608
50.9,0.988315365039336
51,0.987692255330984
51.1,0.9870222463907
51.2,0.986301276375176
51.3,0.985525022880577
51.4,0.984688944120977
51.5,0.983788349237842
51.6,0.98281850840152
51.7,0.981774816210018
51.8,0.980653025017019
51.9,0.979449567895173
52,0.97816199330389
52.1,0.976789534030161
52.2,0.975333829757527
52.3,0.973799812994202
52.4,0.972196748496882
52.5,0.970539382773647
52.6,0.968849109513273
52.7,0.967154988826543
52.8,0.96549437991324
52.9,0.963912876515549
53,0.962463204812679
53.1,0.961202797685132
53.2,0.960189937427102
53.3,0.95947867050544
53.4,0.959113091783092
53.5,0.959121948821995
53.6,0.959514667075062
53.7,0.960279721058012
53.8,0.961385777935607
53.9,0.962785376005036
54,0.964420317047872
54.1,0.966227654849878
54.2,0.968145217680629
54.3,0.970115923745943
54.4,0.972090569784115
54.5,0.974029141930337
54.6,0.975900932287506
54.7,0.977683835508275
54.8,0.979363183773618
54.9,0.980930405256374
55,0.98238170142383
55.1,0.983716857396867
55.2,0.984938237734211
55.3,0.986049978722864
55.4,0.987057364149767
55.5,0.987966359843486
55.6,0.988783278588936
55.7,0.989514547925828
55.8,0.990166556497648
55.9,0.990745558570205
56,0.991257620264475
56.1,0.99170859454488
56.2,0.992104114918859
56.3,0.992449600123392
56.4,0.992750263850348
56.5,0.993011124877496
56.6,0.993237013904916
56.7,0.993432574026326
56.8,0.993602252155248
56.9,0.993750278931358
57,0.993880634701327
57.1,0.993996999141575
57.2,0.994102682013539
57.3,0.994200532464166
57.4,0.994292824274712
57.5,0.99438111461584
57.6,0.994466074328261
57.7,0.994547288730951
57.8,0.994623029785035
57.9,0.994690003589433
58,0.994743082364113
58.1,0.994775038315953
58.2,0.994776309546754
58.3,0.994734847474347
58.4,0.994636123745781
58.5,0.994463415515317
58.6,0.994198544382426
58.7,0.993823317647061
58.8,0.993322006352318
58.9,0.992685273235189
59,0.991915981509637
59.1,0.991037148627514
59.2,0.990101702960113
59.3,0.989202185819236
59.4,0.988475375036821
59.5,0.988091142466422
59.6,0.988206637808536
59.7,0.988859328584273
59.8,0.989776317236744
59.9,0.990113040179096
60,0.988217511363103
60.1,0.99045935628047
60.2,0.992258324690336
60.3,0.993765731799587
60.4,0.995004899555902
60.5,0.995726850266657
60.6,0.995166771553852
60.7,0.992004815359604
60.8,0.986539963101682
60.9,0.983743983404337
61,0.985770965026408
61.1,0.989563348279372
61.2,0.993126337526149
61.3,0.99594170738538
61.4,0.997862737684765
61.5,0.998683097810756
61.6,0.998083780673453
61.7,0.995892816378473
61.8,0.992616181538558
61.9,0.989515118114669
62,0.987645364593647
62.1,0.987122857227745
62.2,0.987492688343754
62.3,0.988288683298621
62.4,0.989219768690208
62.5,0.99014156196443
62.6,0.990994324127506
62.7,0.991760140255927
62.8,0.992439776768948
62.9,0.993041341016174
63,0.993575018317868
63.1,0.994050756476313
63.2,0.994477338622143
63.3,0.994862093818248
63.4,0.995210888079149
63.5,0.995528225679816
63.6,0.995817378569139
63.7,0.996080501603231
63.8,0.996318706873063
63.9,0.996532071583805
64,0.996719542849375
64.1,0.996878674670593
64.2,0.997005071881768
64.3,0.997091283692595
64.4,0.997124583346697
64.5,0.997082303751866
64.6,0.996921285081188
64.7,0.996551430477752
64.8,0.995759781468332
64.9,0.993949943197027
65,0.989039743937336
65.1,0.973442281362855
65.2,0.966651694915468
65.3,0.987221071239339
65.4,0.994114792986721
65.5,0.996425836793501
65.6,0.997393293493126
65.7,0.997845984053288
