"Freq [GHz]","ReflectanceTM []"
30,0.99981264890762
30.1,1.00002112299084
30.2,1.00019826944293
30.3,1.00034661252207
30.4,1.00046857892211
30.5,1.0005664949337
30.6,1.00064258420082
30.7,1.00069896604971
30.8,1.00073765436495
30.9,1.00076055698605
31,1.00076947559617
31.1,1.00076610607428
31.2,1.00075203928065
31.3,1.00072876224576
31.4,1.00069765973214
31.5,1.0006600161388
31.6,1.00061701771826
31.7,1.00056975507643
31.8,1.00051922592626
31.9,1.00046633806652
32,1.00041191255837
32.1,1.0003566870726
32.2,1.00030131938197
32.3,1.00024639097353
32.4,1.0001924107575
32.5,1.00013981884972
32.6,1.00008899040624
32.7,1.00004023948972
32.8,0.999993822948013
32.9,0.999949944287139
33,0.999908757521339
33.1,0.999870370984419
33.2,0.999834851087479
33.3,0.999802226009406
33.4,0.999772489307388
33.5,0.999745603435795
33.6,0.999721503163007
33.7,0.999700098876439
33.8,0.999681279767271
33.9,0.999664916887175
34,0.999650866070398
34.1,0.999638970715293
34.2,0.999629064420598
34.3,0.999620973472071
34.4,0.999614519176696
34.5,0.999609520041567
34.6,0.999605793796311
34.7,0.999603159257799
34.8,0.999601438037219
34.9,0.99960045609009
35,0.999600045110288
35.1,0.999600043770238
35.2,0.999600298809561
35.3,0.999600665975414
35.4,0.999601010818117
35.5,0.999601209346262
35.6,0.999601148545973
35.7,0.999600726769394
35.8,0.999599853997946
35.9,0.999598451986344
36,0.999596454293469
36.1,0.999593806206713
36.2,0.999590464566665
36.3,0.999586397499026
36.4,0.999581584061128
36.5,0.999576013810257
36.6,0.999569686301298
36.7,0.999562610521322
36.8,0.999554804268446
36.9,0.999546293482617
37,0.999537111535902
37.1,0.99952729848943
37.2,0.999516900324369
37.3,0.99950596815422
37.4,0.999494557424968
37.5,0.999482727110155
37.6,0.999470538907122
37.7,0.99945805644064
37.8,0.999445344479869
37.9,0.999432468174107
38,0.99941949231263
38.1,0.999406480613426
38.2,0.999393495045314
38.3,0.999380595187585
38.4,0.999367837630755
38.5,0.999355275421768
38.6,0.999342957556614
38.7,0.99933092852263
38.8,0.999319227892549
38.9,0.999307889972033
39,0.999296943501718
39.1,0.999286411414561
39.2,0.999276310649055
39.3,0.999266652017823
39.4,0.999257440131614
39.5,0.999248673377719
39.6,0.99924034395157
39.7,0.999232437939976
39.8,0.999224935454392
39.9,0.99921781081171
40,0.999211032760405
40.1,0.999204564749091
40.2,0.999198365234556
40.3,0.999192388026252
40.4,0.999186582663388
40.5,0.999180894821569
40.6,0.999175266744661
40.7,0.999169637698574
40.8,0.999163944442384
40.9,0.99915812171332
41,0.999152102720876
41.1,0.999145819646608
41.2,0.999139204144723
41.3,0.999132187840131
41.4,0.999124702819148
41.5,0.999116682109511
41.6,0.999108060145491
41.7,0.999098773214433
41.8,0.999088759881238
41.9,0.99907796138724
42,0.999066322020445
42.1,0.999053789453925
42.2,0.999040315049775
42.3,0.999025854126161
42.4,0.99901036618508
42.5,0.998993815098828
42.6,0.998976169253962
42.7,0.998957401650663
42.8,0.998937489957237
42.9,0.998916416518337
43,0.998894168317054
43.1,0.998870736890449
43.2,0.998846118198825
43.3,0.998820312449481
43.4,0.998793323875533
43.5,0.99876516047126
43.6,0.998735833685238
43.7,0.99870535807324
43.8,0.998673750912682
43.9,0.998641031781211
44,0.998607222101651
44.1,0.998572344656523
44.2,0.998536423074483
44.3,0.998499481292348
44.4,0.998461542995836
44.5,0.998422631042146
44.6,0.998382766868321
44.7,0.998341969888659
44.8,0.998300256884779
44.9,0.99825764139205
45,0.998214133085834
45.1,0.998169737170989
45.2,0.998124453778114
45.3,0.998078277369631
45.4,0.998031196158737
45.5,0.99798319154411
45.6,0.99793423756274
45.7,0.997884300363219
45.8,0.997833337701357
45.9,0.997781298459402
46,0.997728122190003
46.1,0.997673738685622
46.2,0.997618067572794
46.3,0.997561017931429
46.4,0.997502487937129
46.5,0.997442364525222
46.6,0.997380523073346
46.7,0.997316827099513
46.8,0.997251127971109
46.9,0.997183264619519
47,0.997113063254455
47.1,0.997040337070436
47.2,0.996964885937115
47.3,0.996886496063908
47.4,0.996804939628032
47.5,0.996719974353596
47.6,0.996631343028142
47.7,0.99653877294116
47.8,0.996441975227553
47.9,0.996340644097341
48,0.996234455930289
48.1,0.996123068212814
48.2,0.996006118291578
48.3,0.995883221915723
48.4,0.995753971537316
48.5,0.99561793433617
48.6,0.995474649932242
48.7,0.995323627745349
48.8,0.995164343958047
48.9,0.994996238033996
49,0.994818708739452
49.1,0.994631109611642
49.2,0.994432743813322
49.3,0.994222858308381
49.4,0.994000637289717
49.5,0.993765194786868
49.6,0.993515566378998
49.7,0.993250699938349
49.8,0.992969445331044
49.9,0.992670543009378
50,0.99235261144093
50.1,0.99201413334098
50.2,0.991653440707257
50.3,0.991268698704676
50.4,0.990857888520245
50.5,0.99041878941165
50.6,0.989948960320113
50.7,0.989445721623266
50.8,0.988906137887434
50.9,0.988327002867142
51,0.987704828526103
51.1,0.987035840559026
51.2,0.986315983829252
51.3,0.985540942360064
51.4,0.984706180088998
51.5,0.983807010573593
51.6,0.98283870625404
51.7,0.981796660712426
51.8,0.98067662048808
51.9,0.979475006083413
52,0.978189344174259
52.1,0.976818833581942
52.2,0.975365064438354
52.3,0.973832900502442
52.4,0.972231515225252
52.5,0.970575538929802
52.6,0.968886224121414
52.7,0.967192468346031
52.8,0.965531455907558
52.9,0.963948609199628
53,0.962496509622306
53.1,0.961232500295716
53.2,0.960214858163076
53.3,0.959497731938878
53.4,0.959125435061418
53.5,0.959127037846471
53.6,0.959512358402481
53.7,0.960270283171574
53.8,0.961369855167647
53.9,0.962763905806448
54,0.964394419462187
54.1,0.966198516642756
54.2,0.968113990450184
54.3,0.970083648002984
54.4,0.972058128825565
54.5,0.973997242909497
54.6,0.975870108278245
54.7,0.977654461350195
54.8,0.979335499215175
54.9,0.980904540459454
55,0.982357701571357
55.1,0.983694704577242
55.2,0.984917869327518
55.3,0.986031302193756
55.4,0.987040268536992
55.5,0.987950724412896
55.6,0.988768979163722
55.7,0.989501461381104
55.8,0.990154563845052
55.9,0.990734546985562
56,0.991247484340402
56.1,0.991699236987127
56.2,0.99209544685203
56.3,0.992441541128761
56.4,0.992742741824363
56.5,0.99300407577312
56.6,0.993230381397386
56.7,0.993426309129149
56.8,0.993596312799792
56.9,0.993744629513514
57,0.993875245590728
57.1,0.993991846141942
57.2,0.994097745756695
57.3,0.994195797715193
57.4,0.994288279121307
57.5,0.994376749511912
57.6,0.99446188096118
57.7,0.994543258684978
57.8,0.994619152983296
57.9,0.994686266517241
58,0.994739466113566
