"Freq [GHz]","ReflectanceTE []"
30,0.996065867199126
30.01,0.996055473561817
30.02,0.996045048012602
30.03,0.996034590483364
30.04,0.996024100906598
30.05,0.996013579215449
30.06,0.99600302534369
30.07,0.995992439225778
30.08,0.99598182079681
30.09,0.995971169992556
30.1,0.99596048674947
30.11,0.99594977100468
30.12,0.995939022696032
30.13,0.995928241762061
30.14,0.995917428141995
30.15,0.995906581775807
30.16,0.995895702604185
30.17,0.995884790568545
30.18,0.995873845611055
30.19,0.995862867674647
30.2,0.995851856702985
30.21,0.995840812640501
30.22,0.995829735432419
30.23,0.995818625024725
30.24,0.995807481364232
30.25,0.99579630439851
30.26,0.995785094075959
30.27,0.995773850345797
30.28,0.99576257315803
30.29,0.995751262463551
30.3,0.995739918214039
30.31,0.99572854036206
30.32,0.995717128861004
30.33,0.995705683665161
30.34,0.995694204729648
30.35,0.995682692010498
30.36,0.995671145464599
30.37,0.995659565049762
30.38,0.995647950724704
30.39,0.995636302449019
30.4,0.995624620183249
30.41,0.99561290388885
30.42,0.995601153528233
30.43,0.995589369064735
30.44,0.995577550462639
30.45,0.995565697687202
30.46,0.995553810704636
30.47,0.995541889482134
30.48,0.995529933987886
30.49,0.995517944191035
30.5,0.995505920061758
30.51,0.995493861571229
30.52,0.995481768691632
30.53,0.995469641396171
30.54,0.995457479659099
30.55,0.995445283455676
30.56,0.995433052762218
30.57,0.995420787556127
30.58,0.995408487815816
30.59,0.9953961535208
30.6,0.995383784651659
30.61,0.995371381190073
30.62,0.995358943118783
30.63,0.995346470421658
30.64,0.995333963083661
30.65,0.995321421090875
30.66,0.995308844430502
30.67,0.99529623309088
30.68,0.995283587061482
30.69,0.995270906332929
30.7,0.995258190896986
30.71,0.995245440746587
30.72,0.995232655875826
30.73,0.995219836279985
30.74,0.995206981955532
30.75,0.995194092900093
30.76,0.995181169112529
30.77,0.995168210592885
30.78,0.995155217342424
30.79,0.995142189363636
30.8,0.99512912666022
30.81,0.995116029237139
30.82,0.995102897100555
30.83,0.995089730257916
30.84,0.995076528717917
30.85,0.995063292490495
30.86,0.995050021586893
30.87,0.995036716019592
30.88,0.995023375802394
30.89,0.995010000950358
30.9,0.994996591479877
30.91,0.994983147408622
30.92,0.994969668755581
30.93,0.994956155541088
30.94,0.994942607786762
30.95,0.994929025515553
30.96,0.994915408751812
30.97,0.994901757521173
30.98,0.994888071850679
30.99,0.99487435176864
31,0.994860597304851
31.01,0.994846808490399
31.02,0.99483298535777
31.03,0.994819127940873
31.04,0.994805236274933
31.05,0.994791310396661
31.06,0.99477735034412
31.07,0.994763356156809
31.08,0.994749327875642
31.09,0.994735265542942
31.1,0.994721169202484
31.11,0.994707038899488
31.12,0.994692874680595
31.13,0.994678676593907
31.14,0.994664444689
31.15,0.994650179016889
31.16,0.994635879630081
31.17,0.994621546582551
31.18,0.994607179929734
31.19,0.994592779728603
31.2,0.994578346037563
31.21,0.994563878916576
31.22,0.994549378427095
31.23,0.994534844632066
31.24,0.994520277595964
31.25,0.994505677384791
31.26,0.994491044066089
31.27,0.99447637770893
31.28,0.994461678383907
31.29,0.994446946163186
31.3,0.994432181120482
31.31,0.994417383331071
31.32,0.994402552871789
31.33,0.994387689821038
31.34,0.994372794258808
31.35,0.994357866266653
31.36,0.994342905927747
31.37,0.994327913326805
31.38,0.994312888550207
31.39,0.994297831685889
31.4,0.994282742823408
31.41,0.994267622053936
31.42,0.994252469470267
31.43,0.994237285166813
31.44,0.994222069239636
31.45,0.994206821786424
31.46,0.994191542906509
31.47,0.994176232700854
31.48,0.994160891272065
31.49,0.994145518724443
31.5,0.994130115163966
31.51,0.994114680698191
31.52,0.994099215436444
31.53,0.994083719489657
31.54,0.99406819297048
31.55,0.994052635993259
31.56,0.994037048673992
31.57,0.994021431130408
31.58,0.99400578348195
31.59,0.993990105849711
31.6,0.993974398356555
31.61,0.993958661127012
31.62,0.993942894287388
31.63,0.993927097965673
31.64,0.993911272291574
31.65,0.993895417396599
31.66,0.993879533413932
31.67,0.993863620478517
31.68,0.993847678727057
31.69,0.993831708298025
31.7,0.993815709331621
31.71,0.99379968196979
31.72,0.993783626356303
31.73,0.993767542636657
31.74,0.993751430958142
31.75,0.993735291469808
31.76,0.993719124322531
31.77,0.993702929668914
31.78,0.993686707663423
31.79,0.993670458462256
31.8,0.993654182223441
31.81,0.993637879106822
31.82,0.993621549274048
31.83,0.993605192888544
31.84,0.993588810115591
31.85,0.993572401122295
31.86,0.993555966077586
31.87,0.993539505152172
31.88,0.993523018518674
31.89,0.993506506351485
31.9,0.99348996882685
31.91,0.993473406122918
31.92,0.993456818419604
31.93,0.993440205898725
31.94,0.993423568743933
31.95,0.993406907140751
31.96,0.993390221276568
31.97,0.993373511340639
31.98,0.993356777524047
31.99,0.993340020019845
32,0.99332323902288
32.01,0.993306434729886
32.02,0.993289607339511
32.03,0.993272757052319
32.04,0.993255884070664
32.05,0.993238988598894
32.06,0.993222070843228
32.07,0.993205131011745
32.08,0.993188169314504
