"Freq [GHz]","ReflectanceTE []"
30,0.998685279950239
30.01,0.997390337264106
30.02,0.996096003775524
30.03,0.994802280062637
30.04,0.993509166714849
30.05,0.9922166643329
30.06,0.990924773528901
30.07,0.989633494926545
30.08,0.988342829161068
30.09,0.98705277687939
30.1,0.985763338740213
30.11,0.984474515414112
30.12,0.983186307583571
30.13,0.981898715943154
30.14,0.980611741199546
30.15,0.979325384071659
30.16,0.978039645290723
30.17,0.976754525600374
30.18,0.975470025756763
30.19,0.974186146528644
30.2,0.972902888697472
30.21,0.971620253057495
30.22,0.97033824041585
30.23,0.969056851592678
30.24,0.967776087421218
30.25,0.966495948747882
30.26,0.965216436432383
30.27,0.963937551347842
30.28,0.962659294380846
30.29,0.961381666431625
30.3,0.960104668414085
30.31,0.95882830125595
30.32,0.957552565898858
30.33,0.956277463298496
30.34,0.955002994424638
30.35,0.953729160261329
30.36,0.952455961806943
30.37,0.951183400074336
30.38,0.949911476090926
30.39,0.948640190898787
30.4,0.947369545554825
30.41,0.946099541130844
30.42,0.944830178713659
30.43,0.943561459405233
30.44,0.942293384322784
30.45,0.941025954598908
30.46,0.939759171381677
30.47,0.938493035834803
30.48,0.937227549137699
30.49,0.935962712485656
30.5,0.934698527089918
30.51,0.933434994177839
30.52,0.932172114992997
30.53,0.930909890795323
30.54,0.929648322861208
30.55,0.928387412483664
30.56,0.927127160972398
30.57,0.925867569654022
30.58,0.924608639872114
30.59,0.92335037298737
30.6,0.922092770377742
30.61,0.920835833438591
30.62,0.919579563582765
30.63,0.918323962240794
30.64,0.917069030861003
30.65,0.915814770909634
30.66,0.91456118387102
30.67,0.913308271247686
30.68,0.912056034560536
30.69,0.910804475348958
30.7,0.909553595170963
30.71,0.90830339560337
30.72,0.907053878241919
30.73,0.905805044701435
30.74,0.904556896615958
30.75,0.903309435638908
30.76,0.902062663443245
30.77,0.900816581721574
30.78,0.899571192186362
30.79,0.898326496570066
30.8,0.89708249662525
30.81,0.895839194124815
30.82,0.894596590862092
30.83,0.893354688651049
30.84,0.892113489326408
30.85,0.890872994743862
30.86,0.889633206780184
30.87,0.888394127333407
30.88,0.887155758323029
30.89,0.885918101690118
30.9,0.884681159397535
30.91,0.883444933430066
30.92,0.882209425794619
30.93,0.88097463852039
30.94,0.879740573659011
30.95,0.878507233284776
30.96,0.877274619494781
30.97,0.876042734409111
30.98,0.874811580171034
30.99,0.873581158947139
31,0.87235147292759
31.01,0.871122524326261
31.02,0.8698943153809
31.03,0.868666848353399
31.04,0.867440125529893
31.05,0.866214149221018
31.06,0.864988921762056
31.07,0.863764445513164
31.08,0.862540722859539
31.09,0.861317756211642
31.1,0.860095548005383
31.11,0.858874100702315
31.12,0.857653416789858
31.13,0.856433498781463
31.14,0.855214349216871
31.15,0.853995970662274
31.16,0.852778365710537
31.17,0.851561536981432
31.18,0.850345487121792
31.19,0.849130218805799
31.2,0.847915734735154
31.21,0.846702037639276
31.22,0.845489130275594
31.23,0.844277015429665
31.24,0.843065695915504
31.25,0.841855174575718
31.26,0.840645454281798
31.27,0.83943653793429
31.28,0.838228428463095
31.29,0.837021128827618
31.3,0.835814642017066
31.31,0.834608971050666
31.32,0.833404118977888
31.33,0.832200088878692
31.34,0.830996883863768
31.35,0.829794507074798
31.36,0.828592961684685
31.37,0.827392250897773
31.38,0.826192377950162
31.39,0.824993346109893
31.4,0.823795158677254
31.41,0.822597818984989
31.42,0.8214013303986
31.43,0.820205696316558
31.44,0.81901092017062
31.45,0.817817005426053
31.46,0.816623955581912
31.47,0.815431774171301
31.48,0.814240464761659
31.49,0.813050030955025
31.5,0.811860476388319
31.51,0.810671804733592
31.52,0.809484019698342
31.53,0.80829712502578
31.54,0.807111124495098
31.55,0.805926021921797
31.56,0.804741821157931
31.57,0.803558526092414
31.58,0.802376140651332
31.59,0.801194668798211
31.6,0.800014114534336
31.61,0.798834481899029
31.62,0.797655774969997
31.63,0.796477997863564
31.64,0.795301154735063
31.65,0.794125249779076
31.66,0.792950287229802
31.67,0.791776271361327
31.68,0.790603206487971
31.69,0.789431096964614
31.7,0.788259947186989
31.71,0.787089761592033
31.72,0.785920544658208
31.73,0.784752300905845
31.74,0.78358503489746
31.75,0.782418751238085
31.76,0.781253454575647
31.77,0.780089149601263
31.78,0.778925841049628
31.79,0.777763533699315
31.8,0.776602232373183
31.81,0.775441941938683
31.82,0.774282667308247
31.83,0.773124413439621
31.84,0.771967185336247
31.85,0.770810988047635
31.86,0.769655826669687
31.87,0.768501706345141
31.88,0.767348632263887
31.89,0.766196609663361
31.9,0.765045643828932
31.91,0.763895740094285
31.92,0.762746903841805
31.93,0.76159914050296
31.94,0.760452455558727
31.95,0.759306854539942
31.96,0.758162343027726
31.97,0.757018926653891
31.98,0.75587661110134
31.99,0.754735402104459
32,0.753595305449586
32.01,0.752456326975351
32.02,0.751318472573151
32.03,0.750181748187572
32.04,0.749046159816761
32.05,0.747911713512936
32.06,0.746778415382757
32.07,0.745646271587807
32.08,0.744515288344978
32.09,0.743385471926988
32.1,0.742256828662758
32.11,0.741129364937913
32.12,0.740003087195222
32.13,0.738878001935048
32.14,0.737754115715827
32.15,0.736631435154506
32.16,0.735509966927059
32.17,0.734389717768921
32.18,0.733270694475492
32.19,0.732152903902588
32.2,0.731036352966956
32.21,0.729921048646767
32.22,0.728806997982077
32.23,0.727694208075358
32.24,0.72658268609197
32.25,0.725472439260702
32.26,0.724363474874259
32.27,0.723255800289761
32.28,0.722149422929302
32.29,0.721044350280432
